Tarih,Hisse_Kodu,Set,Close,Open,High,Low,Volume,USD_TRY,VIX,Gunluk_Getiri
2015-03-11,AKBNK.IS,Train,4.449033260345459,4.4070047822494764,4.4670452744460825,4.3049348102692,37807105.0,2.6362900733947754,16.8700008392334,0.0301396071450612
2015-03-12,AKBNK.IS,Train,4.467044830322266,4.503069522733647,4.503069522733647,4.419012574898816,26880445.0,2.6112399101257324,15.420000076293944,0.0040402504991129
2015-03-13,AKBNK.IS,Train,4.449033260345459,4.419013014247156,4.509074420333857,4.394996550251797,44706991.0,2.5859899520874023,16.0,-0.0040402504991128
2015-03-16,AKBNK.IS,Train,4.569114685058594,4.5330899908590325,4.587126698262495,4.521081759459179,28666228.0,2.629879951477051,15.609999656677246,0.0266326352465513
2015-03-17,AKBNK.IS,Train,4.665179252624512,4.671183700997933,4.737228626355824,4.647167243087495,38785912.0,2.622889995574951,15.65999984741211,0.020806795603554
2015-03-18,AKBNK.IS,Train,4.605138778686523,4.623150789541418,4.665179593959787,4.587126100039957,22507891.0,2.6107499599456787,13.970000267028809,-0.0129534527852175
2015-03-19,AKBNK.IS,Train,4.839298725128174,4.821286045988519,4.839298725128174,4.755241113990391,22906465.0,2.5696499347686768,14.06999969482422,0.0495970129525455
2015-03-20,AKBNK.IS,Train,4.893335342407227,4.851305872640785,4.9113473522149,4.827290082161099,22850423.0,2.602289915084839,13.020000457763672,0.0111043263635504
2015-03-23,AKBNK.IS,Train,4.953376770019531,4.965385001457564,4.977393232895598,4.893336280621124,20903048.0,2.5772199630737305,13.40999984741211,0.012195374674142
2015-03-24,AKBNK.IS,Train,4.785261631011963,4.803274311188697,4.851306566812623,4.731224926065217,30917706.0,2.540570020675659,13.619999885559082,-0.0345288190283605
2015-03-25,AKBNK.IS,Train,4.809277534484863,4.827290212570784,4.881327245141067,4.761245284436262,22794029.0,2.5554299354553223,15.4399995803833,0.0050061713679718
2015-03-26,AKBNK.IS,Train,4.76724910736084,4.695200397755989,4.76724910736084,4.66517948994495,19886471.0,2.5859899520874023,15.800000190734863,-0.0087774406170732
2015-03-27,AKBNK.IS,Train,4.707208156585693,4.701203708507287,4.755240402254992,4.695199928220471,21934078.0,2.6029999256134038,15.06999969482422,-0.0126744472757805
2015-03-30,AKBNK.IS,Train,4.818748474121094,4.812633627851046,4.867669964862658,4.782058036210215,32980043.0,2.6113998889923096,14.510000228881836,0.0234192574621863
2015-03-31,AKBNK.IS,Train,4.818748474121094,4.818748474121094,4.818748474121094,4.818748474121094,22338112.0,2.60260009765625,15.289999961853027,0.0
2015-04-01,AKBNK.IS,Train,4.702560901641846,4.733136835227155,4.745367208661278,4.671984627983868,17371385.0,2.5959599018096924,15.109999656677246,-0.0244070086584023
2015-04-02,AKBNK.IS,Train,4.727021217346191,4.727021217346191,4.751481280078324,4.708674980042948,12172330.0,2.596859931945801,14.670000076293944,0.0051880073282086
2015-04-03,AKBNK.IS,Train,4.873785018920898,4.720906374053649,4.873785018920898,4.708675660774168,14074167.0,2.58870005607605,14.6875,0.0305756061548561
2015-04-06,AKBNK.IS,Train,4.977743148803711,4.934936842944252,4.9838586754277205,4.928821996465559,6907785.0,2.566270112991333,14.739999771118164,0.0211057588473741
2015-04-07,AKBNK.IS,Train,4.849324703216553,4.910475885959873,4.9288217848991005,4.830978804277326,23245996.0,2.570580005645752,14.779999732971191,-0.0261371465420797
2015-04-08,AKBNK.IS,Train,4.904361724853516,4.886015823351476,4.904361724853516,4.8554402277085895,12888047.0,2.600939989089966,13.979999542236328,0.0112854982942497
2015-04-09,AKBNK.IS,Train,4.941051483154297,4.879900300338913,4.965512568411211,4.879900300338913,21554510.0,2.59768009185791,13.09000015258789,0.0074532022921036
2015-04-10,AKBNK.IS,Train,4.843209266662598,4.8921307578806354,4.904361130685145,4.830978893858089,21240272.0,2.618769884109497,12.579999923706056,-0.0200005867730733
2015-04-13,AKBNK.IS,Train,4.7331366539001465,4.818748584513874,4.818748584513874,4.7331366539001465,20882623.0,2.626620054244995,13.9399995803833,-0.0229894495353117
2015-04-14,AKBNK.IS,Train,4.824863433837891,4.6597541021231255,4.837093805086778,4.647523730874238,39776819.0,2.6681900024414062,13.670000076293944,0.0191943074397219
2015-04-15,AKBNK.IS,Train,4.696445465087891,4.751482146598902,4.763712520268015,4.696445465087891,32911718.0,2.6868999004364014,12.84000015258789,-0.0269764919574663
