Tarih,Open,High,Low,Close,Volume,USD_TRY,VIX,Hisse_Kodu
2015-01-01,9.407395362854004,9.407395362854004,9.407395362854004,9.407395362854004,0.0,2.331160068511963,,THYAO.IS
2015-01-02,9.446470202203985,9.563696193337194,9.43670113670221,9.495314598083496,7339894.0,2.330980062484741,17.790000915527344,THYAO.IS
2015-01-05,9.739536164591227,9.964219093322754,9.739536164591227,9.964219093322754,21727957.0,2.34224009513855,19.920000076293945,THYAO.IS
2015-01-06,9.91537469484173,10.0619078902848,9.817686829509098,9.964219093322754,8411055.0,2.330749988555908,21.1200008392334,THYAO.IS
2015-01-07,10.013062728330267,10.110751517843761,9.76884168617587,9.817686080932617,8474396.0,2.3236100673675537,19.309999465942383,THYAO.IS
2015-01-08,9.964218275712891,9.964218275712891,9.768841629449764,9.866530418395996,8623683.0,2.3175699710845947,17.010000228881836,THYAO.IS
2015-01-09,9.700460580027915,9.827455640126347,9.641847117048105,9.729766845703125,16354659.0,2.2981998920440674,17.549999237060547,THYAO.IS
2015-01-12,9.778611303265878,9.866531032463516,9.671153442411253,9.680922508239746,18793145.0,2.2927699089050293,19.600000381469727,THYAO.IS
2015-01-13,9.749303580231945,9.759072645533823,9.641846656799316,9.641846656799316,11532920.0,2.2842700481414795,20.559999465942383,THYAO.IS
2015-01-14,9.632077408614846,9.66138460396403,9.456238894666374,9.48554515838623,16884856.0,2.282370090484619,21.479999542236328,THYAO.IS
2015-01-15,9.241324393453233,9.241324393453233,9.09479213889269,9.11432933807373,27827766.0,2.281219959259033,22.389999389648438,THYAO.IS
2015-01-16,9.143635454553651,9.192479849159113,9.055716662219025,9.085022926330566,13659410.0,2.3053200244903564,20.950000762939453,THYAO.IS
2015-01-19,8.99710357577836,8.99710357577836,8.79195785522461,8.79195785522461,27999734.0,2.330970048904419,,THYAO.IS
2015-01-20,9.241324743320998,9.436701400674947,9.212018477625252,9.426932334899902,31238627.0,2.331860065460205,19.889999389648438,THYAO.IS
2015-01-21,9.436701667653582,9.456239799756435,9.202249672195839,9.231555938720703,21899978.0,2.3454599380493164,18.850000381469727,THYAO.IS
2015-01-22,9.153405010236714,9.397626064719963,9.045948081650662,9.299938201904297,42302190.0,2.3489699363708496,16.399999618530273,THYAO.IS
2015-01-23,9.251092642862684,9.29993703395098,9.143634796142578,9.143634796142578,18979708.0,2.3262600898742676,16.65999984741211,THYAO.IS
2015-01-26,9.260861318855785,9.514851422106089,9.24132412025232,9.48554515838623,25136038.0,2.36296010017395,15.520000457763672,THYAO.IS
2015-01-27,9.436700729096163,9.446469794175977,9.309705677946567,9.358550071716309,19883916.0,2.3560099601745605,17.219999313354492,THYAO.IS
2015-01-28,9.319475901016824,9.348782168268388,9.212018966674805,9.212018966674805,12518146.0,2.363140106201172,20.440000534057617,THYAO.IS
2015-01-29,9.26086081822421,9.29993707657737,9.19247922936473,9.2706298828125,10718790.0,2.3869199752807617,18.760000228881836,THYAO.IS
2015-01-30,9.251093400369312,9.27063059942683,9.143635544850243,9.16317367553711,13800081.0,2.415489912033081,20.969999313354492,THYAO.IS
2015-02-02,9.00687232457032,9.065484853164053,8.97756512864411,9.036178588867188,15285719.0,2.440200090408325,19.43000030517578,THYAO.IS
2015-02-03,8.889646409309092,8.899414543069309,8.674731628885334,8.684500694274902,24496617.0,2.430759906768799,17.329999923706055,THYAO.IS
