Tarih,Hisse_Kodu,Set,Close,Open,High,Low,Volatilite_10,MA_10,MA_50,Momentum_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,EMA_20,ATR_14,BB_Upper,BB_Lower,BB_Width,ADX_14,CCI_20,Williams_R,OBV,Stoch_K,Stoch_D,VWAP
2015-03-11,AKBNK.IS,Train,4.449033260345459,4.4070047822494764,4.4670452744460825,4.3049348102692,0.0268477403335459,4.714413452148437,5.166881895065307,-14.03712224303405,31.553156036427907,-0.198115421683072,-0.1366695987344193,-0.0614458229486527,4.841112978147773,0.1389913199106873,5.471707178524915,4.376805995532092,22.234852381108976,36.554009213354426,-153.52802401014463,-84.81010671069613,368605.0,15.189893289303864,9.151585293563036,4.6683746460855415
2015-03-12,AKBNK.IS,Train,4.467044830322266,4.503069522733647,4.503069522733647,4.419012574898816,0.0275227700235076,4.651370477676392,5.152231903076172,-12.367491694947295,32.51151564073771,-0.2027888093591698,-0.1498934408593694,-0.0528953684998004,4.80548744025963,0.1350674361909832,5.463919465711162,4.317948229143574,23.430520066640632,37.759461592090666,-115.2473262822217,-82.91144766352573,27249050.0,17.088552336474276,10.971784785597558,4.644315924248736
2015-03-13,AKBNK.IS,Train,4.449033260345459,4.419013014247156,4.509074420333857,4.394996550251797,0.0265468030596347,4.603938150405884,5.136861438751221,-9.634144298121448,32.02857103681987,-0.2055761322447562,-0.1610299791364468,-0.0445461531083094,4.771539423124947,0.1335681814689173,5.451615686069771,4.263606672633842,24.456651007511372,38.96301975434074,-102.23593126222576,-84.81010671069613,-17457941.0,15.189893289303864,15.822779638360666,4.617648693108976
2015-03-16,AKBNK.IS,Train,4.569114685058594,4.5330899908590325,4.587126698262495,4.521081759459179,0.0288689147018994,4.567913675308228,5.123172121047974,-7.308145320932795,38.57922065073492,-0.1958380392891703,-0.1679915911669915,-0.0278464481221788,4.7522608766424375,0.1338914140723543,5.420051376847659,4.237531669111815,24.488936871851912,39.18174798775001,-67.03775420201421,-72.15192734475016,11208287.0,27.848072655249844,20.042172760342662,4.600477891185701
2015-03-17,AKBNK.IS,Train,4.665179252624512,4.671183700997933,4.737228626355824,4.647167243087495,0.0301345954608098,4.540294790267945,5.110803680419922,-5.5893194889412126,43.28796673032242,-0.1783134364065821,-0.1700559602149096,-0.0082574761916724,4.74396738864073,0.1363358803027026,5.397418023109027,4.222939538002424,24.416524596844894,37.9214808652628,-32.34157061899257,-60.52642323524379,49994199.0,39.47357676475621,27.50384756976997,4.594172857055935
2015-03-18,AKBNK.IS,Train,4.605138778686523,4.623150789541418,4.665179593959787,4.587126100039957,0.0292319877102399,4.520481300354004,5.097594671249389,-4.124997083844798,41.16388200204104,-0.1673408259562281,-0.1695129333631733,0.0021721074069452,4.730745616264138,0.132172852703926,5.358858123496649,4.209263834282282,24.02967466943167,37.07911255572077,-42.87513931529492,-57.98327924200606,27486308.0,42.01672075799394,36.44612339266666,4.581062162940372
2015-03-19,AKBNK.IS,Train,4.839298725128174,4.821286045988519,4.839298725128174,4.755241113990391,0.0303816521859088,4.543897294998169,5.088228302001953,5.084753309181215,51.21749049360975,-0.1381576075002781,-0.1632418681905943,0.0250842606903161,4.741084007584523,0.1394576451137635,5.31305758857794,4.220841098784731,22.912273889399703,34.905131034376936,10.421685422728345,-22.608620111673325,50392773.0,77.39137988832668,52.960559137025605,4.571177607437595
2015-03-20,AKBNK.IS,Train,4.893335342407227,4.851305872640785,4.9113473522149,4.827290082161099,0.0289893634301664,4.582323455810547,5.078741827011108,8.521963284879476,53.2046858040312,-0.1094082035424399,-0.1524751352609634,0.0430669317185234,4.755584134710495,0.1355004754666233,5.286167710801359,4.227917391279941,22.24597127662681,32.42799849506624,32.75586327793881,-10.09180939122492,73243196.0,89.90819060877509,69.77209708503189,4.5762035963204175
2015-03-23,AKBNK.IS,Train,4.953376770019531,4.965385001457564,4.977393232895598,4.893336280621124,0.0289712163084743,4.620749664306641,5.070696334838868,8.409989931255353,55.379672995275314,-0.0808472950646068,-0.1381495672216921,0.0573022721570852,4.774421528549451,0.1318260051110339,5.253267319020615,4.241004293146743,21.32365845899352,30.553856455803952,55.63880937256579,-3.5714420502410507,94146244.0,96.42855794975894,87.90937614895357,4.580197788137652
2015-03-24,AKBNK.IS,Train,4.785261631011963,4.803274311188697,4.851306566812623,4.731224926065217,0.0238384043055675,4.66758165359497,5.058207817077637,10.848418192604829,48.57224563040538,-0.0709600725020687,-0.1247116682777674,0.0537515957756987,4.775453919260166,0.1382778507426968,5.193315465336709,4.261329167002768,19.71488796408265,28.96434387375976,18.22835589963861,-28.571521363838887,63228538.0,71.42847863616112,85.9217423982317,4.586691646948626
2015-03-25,AKBNK.IS,Train,4.809277534484863,4.827290212570784,4.881327245141067,4.761245284436262,0.022817241424228,4.703606081008911,5.048120927810669,8.097136008181517,49.52673439830978,-0.060489212695951,-0.1118671771614042,0.0513779644654531,4.778675215948233,0.1369781443114188,5.129692292221582,4.288327240935766,17.86713328261175,27.283421995483625,36.35716169820749,-25.00016250136791,86022567.0,74.99983749863209,80.95229136151738,4.594854050008703
