Özellik,Ortalama,Medyan,Std. Sapma,Min.,Maks.,Çarpıklık (Skewness),Basıklık (Kurtosis)
Open,29.41246984866382,9.453623307442946,54.684937180296465,0.7176759243011475,323.10441942018554,3.254411179304998,10.65525876616969
High,29.88420189240608,9.568781559842837,55.500353112829806,0.7176759243011475,324.3255353454074,3.242992030150577,10.564120453565014
Low,28.95572182080906,9.358088398532583,53.872993234707565,0.7027760336656677,320.1737670898437,3.262505104102905,10.719441323274873
Close,29.389766570617418,9.453622817993164,54.615090015871715,0.7176759243011475,322.37176513671875,3.2511584546483236,10.629126769806932
Volume,59219401.43267587,34809426.0,74934109.80467725,0.0,993663283.0,3.4093259844695236,19.98106672152634
USD_TRY,10.926475210657904,6.089674949645996,9.841377758364109,2.540570020675659,35.30524826049805,1.244598905684561,0.1674149954745907
VIX,18.224693140313803,16.244999885559082,7.296913906464596,9.140000343322754,82.69000244140625,2.5946761455419254,12.89191531052711
Gunluk_Getiri,0.0013012700414890596,0.0,0.02358455227015583,-0.1618701808194759,0.1959957022889244,0.1373966576179577,3.5887958910916504
Volatilite_10,0.021393267145722917,0.0194338642497145,0.009933587849733734,0.0003788578362943,0.088307946880945,1.7074164910779017,5.276679647084526
MA_10,29.14236865622652,9.411490011215209,54.236379579962986,0.7395289778709412,317.1210235595703,3.2700872553460836,10.771137248898702
MA_50,28.06045077592407,9.225810918807984,52.54659683973656,0.7701729559898376,305.3300341796875,3.3611445793443084,11.49141598405847
Momentum_10,1.572409592489452,1.1035411076712605,7.647222496975282,-35.17989001837433,46.1602621606849,0.43947669311679216,2.2668110031074917
RSI_14,53.597519820119,53.5126945550896,12.353393963089252,9.610048920663402,92.15971281821604,0.014673665145336573,-0.32648983604063675
MACD,0.3801502279977247,0.04917861867577495,1.70153508694881,-11.934405206771686,15.9765507409399,3.3808500102150285,24.743337567439337
MACD_Signal,0.37782985680964476,0.0493842047278925,1.6192202417286405,-10.736270334386038,14.787097290369562,3.5400638423216813,24.48553891409307
MACD_Histogram,0.0023203711880800102,0.0018765148984867,0.4635131287944794,-5.839853929814403,4.578314087082813,-0.7818714160390293,28.632243655107207
EMA_20,28.86868899300785,9.364941605144539,53.77814850262578,0.7538589501632215,309.2015938765884,3.287997174280274,10.90499599719526
ATR_14,0.9551832087584834,0.2498547383855207,1.7429230584215347,0.0164568697498151,10.887047494007664,2.9343180395294493,8.627305852942436
BB_Upper,31.21504043606443,9.928899595421342,57.925745749648044,0.7777990850552559,329.9938576994052,3.242629776803588,10.532769310160292
BB_Lower,26.515975594700326,8.696713200979492,49.789305023330165,0.7085525303307668,299.9423914126794,3.3640983928655777,11.56169589077551
BB_Width,15.072960901021395,12.659184759767399,8.94728803622415,2.3478627487371986,75.80493048592723,1.8127060065065532,4.789088823559975
ADX_14,26.503564210352522,23.99510451771296,11.264245719057817,7.479452817651927,73.15317579990585,1.0975915261858498,1.1065434429405485
CCI_20,22.15557520235878,33.3815839320575,111.46409965983142,-438.3971842774872,484.6842787064604,-0.17604291788996054,-0.2855803293047625
Williams_R,-45.17696220611888,-41.62421323201073,30.485087374303273,-100.0,3.009174298006704e-13,-0.23088482173117794,-1.237775024549606
OBV,5377353357.90253,1462833212.5,7258054717.231688,-2200027416.0,26673763240.0,1.3517829010029998,0.6865332642555853
Stoch_K,54.82303779388112,58.37578676798927,30.485087374303273,0.0,100.0000000000003,-0.23088482173117797,-1.237775024549606
Stoch_D,54.81625151706371,58.46950317030469,28.3584896167346,0.0,100.0,-0.23699426845892566,-1.2719074057947524
VWAP,29.085885168617878,9.394085944628337,54.154412090010986,0.7463017304250564,313.15448783497175,3.2778286133291306,10.832494338748251
