Model,MAE,RMSE,MAPE (%),R²,Time (s)
MLP,6.067119799335269,8.146114657695586,6.134775531251612,0.9919987901689955,9.458576202392578
CNN,5.3667490546231225,7.281163401752769,5.9612849000886134,0.9936077142937368,11.917845249176025
LSTM,13.078079365083337,20.947784654162138,8.217829899551802,0.947090845179292,24.730079650878906
GRU,10.137902663581048,17.960403166141568,6.076575586364898,0.9611056260572296,29.84290647506714
BiLSTM,5.33710999467737,9.413882426907195,3.275518422531544,0.989314566085371,60.35306525230408
CNN-LSTM,6.586915860658755,8.767272653289773,6.2975075714279,0.9907320507164421,37.517746925354004
Transformer,12.588650927641662,22.96517964884672,7.103940394606897,0.9364091958449843,59.84721302986145
