Yöntem,R²,RMSE,MAE
Forward Fill,0.6313045663601586,55.16151879145987,30.762494196317768
KNN Imputer,0.6945810481871251,50.2112650002575,29.0134440864141
Doğrusal Enterpolasyon,0.6332512475288594,55.01475032905335,30.689571074051255
