ds,Hisse_Kodu,y
2015-03-11,AKBNK.IS,4.449032306671143
2015-03-12,AKBNK.IS,4.467044830322266
2015-03-13,AKBNK.IS,4.449032306671143
2015-03-16,AKBNK.IS,4.5691142082214355
2015-03-17,AKBNK.IS,4.66517972946167
2015-03-18,AKBNK.IS,4.605139255523682
2015-03-19,AKBNK.IS,4.839299201965332
2015-03-20,AKBNK.IS,4.893336296081543
2015-03-23,AKBNK.IS,4.953376293182373
2015-03-24,AKBNK.IS,4.785261154174805
2015-03-25,AKBNK.IS,4.809277534484863
2015-03-26,AKBNK.IS,4.76724910736084
2015-03-27,AKBNK.IS,4.707208156585693
2015-03-30,AKBNK.IS,4.818748474121094
2015-03-31,AKBNK.IS,4.818748474121094
2015-04-01,AKBNK.IS,4.702560901641846
2015-04-02,AKBNK.IS,4.72702169418335
2015-04-03,AKBNK.IS,4.873785495758057
2015-04-06,AKBNK.IS,4.977743148803711
2015-04-07,AKBNK.IS,4.849324703216553
2015-04-08,AKBNK.IS,4.904361724853516
2015-04-09,AKBNK.IS,4.941052436828613
2015-04-10,AKBNK.IS,4.843209266662598
2015-04-13,AKBNK.IS,4.733137130737305
2015-04-14,AKBNK.IS,4.824864387512207
2015-04-15,AKBNK.IS,4.696445941925049
2015-04-16,AKBNK.IS,4.739251136779785
2015-04-17,AKBNK.IS,4.733137130737305
2015-04-20,AKBNK.IS,4.678100109100342
2015-04-21,AKBNK.IS,4.830978870391846
2015-04-22,AKBNK.IS,4.751482009887695
2015-04-23,AKBNK.IS,4.751482009887695
2015-04-24,AKBNK.IS,4.830978870391846
2015-04-27,AKBNK.IS,4.9349365234375
2015-04-28,AKBNK.IS,4.95939826965332
2015-04-29,AKBNK.IS,4.965511798858643
2015-04-30,AKBNK.IS,4.763711929321289
2015-05-01,AKBNK.IS,4.763711929321289
2015-05-04,AKBNK.IS,4.763711929321289
2015-05-05,AKBNK.IS,4.708675384521484
2015-05-06,AKBNK.IS,4.66586971282959
2015-05-07,AKBNK.IS,4.671984672546387
2015-05-08,AKBNK.IS,4.824864387512207
2015-05-11,AKBNK.IS,4.892130374908447
2015-05-12,AKBNK.IS,4.88601541519165
2015-05-13,AKBNK.IS,5.045010566711426
2015-05-14,AKBNK.IS,5.118391990661621
2015-05-15,AKBNK.IS,5.136736869812012
2015-05-18,AKBNK.IS,5.265155792236328
2015-05-19,AKBNK.IS,5.265155792236328
2015-05-20,AKBNK.IS,5.161197662353516
2015-05-21,AKBNK.IS,5.075585842132568
2015-05-22,AKBNK.IS,4.983859062194824
2015-05-25,AKBNK.IS,4.904361724853516
2015-05-26,AKBNK.IS,4.861555099487305
2015-05-27,AKBNK.IS,4.947166919708252
2015-05-28,AKBNK.IS,4.928822040557861
2015-05-29,AKBNK.IS,4.849324703216553
2015-06-01,AKBNK.IS,4.66586971282959
2015-06-02,AKBNK.IS,4.782058238983154
2015-06-03,AKBNK.IS,4.88601541519165
2015-06-04,AKBNK.IS,4.788173198699951
2015-06-05,AKBNK.IS,4.745367527008057
2015-06-08,AKBNK.IS,4.494645595550537
2015-06-09,AKBNK.IS,4.568027496337891
2015-06-10,AKBNK.IS,4.739251136779785
2015-06-11,AKBNK.IS,4.843209266662598
2015-06-12,AKBNK.IS,4.867670059204102
2015-06-15,AKBNK.IS,4.690329551696777
2015-06-16,AKBNK.IS,4.769827842712402
2015-06-17,AKBNK.IS,4.800404071807861
2015-06-18,AKBNK.IS,4.867670059204102
2015-06-19,AKBNK.IS,4.904361724853516
2015-06-22,AKBNK.IS,4.989973545074463
2015-06-23,AKBNK.IS,4.88601541519165
2015-06-24,AKBNK.IS,4.965511798858643
2015-06-25,AKBNK.IS,4.861555099487305
2015-06-26,AKBNK.IS,4.855440139770508
2015-06-29,AKBNK.IS,4.751482009887695
2015-06-30,AKBNK.IS,4.739251136779785
2015-07-01,AKBNK.IS,4.653639316558838
2015-07-02,AKBNK.IS,4.690329551696777
2015-07-03,AKBNK.IS,4.635293483734131
2015-07-06,AKBNK.IS,4.751482009887695
2015-07-07,AKBNK.IS,4.659754753112793
2015-07-08,AKBNK.IS,4.519105434417725
2015-07-09,AKBNK.IS,4.708675384521484
2015-07-10,AKBNK.IS,4.751482009887695
2015-07-13,AKBNK.IS,4.782058238983154
2015-07-14,AKBNK.IS,4.739251136779785
2015-07-15,AKBNK.IS,4.714791297912598
2015-07-16,AKBNK.IS,4.708675384521484
2015-07-17,AKBNK.IS,4.708675384521484
2015-07-20,AKBNK.IS,4.5924882888793945
2015-07-21,AKBNK.IS,4.555797100067139
2015-07-22,AKBNK.IS,4.543566703796387
2015-07-23,AKBNK.IS,4.421262741088867
2015-07-24,AKBNK.IS,4.48853063583374
2015-07-27,AKBNK.IS,4.3968024253845215
2015-07-28,AKBNK.IS,4.390687942504883
2015-07-29,AKBNK.IS,4.409032821655273
2015-07-30,AKBNK.IS,4.457954406738281
2015-07-31,AKBNK.IS,4.537451267242432
2015-08-03,AKBNK.IS,4.402917385101318
2015-08-04,AKBNK.IS,4.402917385101318
2015-08-05,AKBNK.IS,4.390687942504883
2015-08-06,AKBNK.IS,4.457954406738281
2015-08-07,AKBNK.IS,4.457954406738281
2015-08-10,AKBNK.IS,4.409032821655273
2015-08-11,AKBNK.IS,4.5924882888793945
2015-08-12,AKBNK.IS,4.445724010467529
2015-08-13,AKBNK.IS,4.33565092086792
2015-08-14,AKBNK.IS,4.329535961151123
2015-08-17,AKBNK.IS,4.280613899230957
2015-08-18,AKBNK.IS,4.133850574493408
2015-08-19,AKBNK.IS,4.133850574493408
2015-08-20,AKBNK.IS,4.066583156585693
2015-08-21,AKBNK.IS,3.999317169189453
2015-08-24,AKBNK.IS,3.883129358291626
2015-08-25,AKBNK.IS,4.042123317718506
2015-08-26,AKBNK.IS,4.072698593139648
2015-08-27,AKBNK.IS,4.139965534210205
2015-08-28,AKBNK.IS,4.176657199859619
2015-08-31,AKBNK.IS,4.170541286468506
2015-09-01,AKBNK.IS,4.048238754272461
2015-09-02,AKBNK.IS,4.097158908843994
2015-09-03,AKBNK.IS,4.097158908843994
2015-09-04,AKBNK.IS,4.011547088623047
2015-09-07,AKBNK.IS,3.962625741958618
2015-09-08,AKBNK.IS,3.9870874881744385
2015-09-09,AKBNK.IS,3.980971336364746
2015-09-10,AKBNK.IS,3.968740701675415
2015-09-11,AKBNK.IS,3.9137048721313477
2015-09-14,AKBNK.IS,3.84643816947937
2015-09-15,AKBNK.IS,4.029892444610596
2015-09-16,AKBNK.IS,4.146080493927002
2015-09-17,AKBNK.IS,4.19500207901001
2015-09-18,AKBNK.IS,4.170541286468506
2015-09-21,AKBNK.IS,4.225577354431152
2015-09-22,AKBNK.IS,4.188887119293213
2015-09-23,AKBNK.IS,4.152195930480957
2015-09-24,AKBNK.IS,4.152195930480957
2015-09-25,AKBNK.IS,4.152195930480957
2015-09-28,AKBNK.IS,4.054354190826416
2015-09-29,AKBNK.IS,4.146080493927002
2015-09-30,AKBNK.IS,4.146080493927002
2015-10-01,AKBNK.IS,4.201116561889648
2015-10-02,AKBNK.IS,4.1216206550598145
2015-10-05,AKBNK.IS,4.353996276855469
2015-10-06,AKBNK.IS,4.353996276855469
2015-10-07,AKBNK.IS,4.500760555267334
2015-10-08,AKBNK.IS,4.48853063583374
2015-10-09,AKBNK.IS,4.586372375488281
2015-10-12,AKBNK.IS,4.549680709838867
2015-10-13,AKBNK.IS,4.457954406738281
2015-10-14,AKBNK.IS,4.586372375488281
2015-10-15,AKBNK.IS,4.580257415771484
2015-10-16,AKBNK.IS,4.531336307525635
2015-10-19,AKBNK.IS,4.568027496337891
2015-10-20,AKBNK.IS,4.610832691192627
2015-10-21,AKBNK.IS,4.586372375488281
2015-10-22,AKBNK.IS,4.59860372543335
2015-10-23,AKBNK.IS,4.568027496337891
2015-10-26,AKBNK.IS,4.464069366455078
2015-10-27,AKBNK.IS,4.464069366455078
2015-10-28,AKBNK.IS,4.525221347808838
2015-10-29,AKBNK.IS,4.525221347808838
2015-10-30,AKBNK.IS,4.580257415771484
2015-11-02,AKBNK.IS,4.928822040557861
2015-11-03,AKBNK.IS,4.855440139770508
2015-11-04,AKBNK.IS,4.904361724853516
2015-11-05,AKBNK.IS,4.837094306945801
2015-11-06,AKBNK.IS,4.800404071807861
2015-11-09,AKBNK.IS,4.720906734466553
2015-11-10,AKBNK.IS,4.678100109100342
2015-11-11,AKBNK.IS,4.714791297912598
2015-11-12,AKBNK.IS,4.745367527008057
2015-11-13,AKBNK.IS,4.72702169418335
2015-11-16,AKBNK.IS,4.678100109100342
2015-11-17,AKBNK.IS,4.678100109100342
2015-11-18,AKBNK.IS,4.629179000854492
2015-11-19,AKBNK.IS,4.5924882888793945
2015-11-20,AKBNK.IS,4.574142932891846
2015-11-23,AKBNK.IS,4.506875514984131
2015-11-24,AKBNK.IS,4.329535961151123
2015-11-25,AKBNK.IS,4.33565092086792
2015-11-26,AKBNK.IS,4.201116561889648
2015-11-27,AKBNK.IS,4.219463348388672
2015-11-30,AKBNK.IS,4.2378082275390625
2015-12-01,AKBNK.IS,4.360111236572266
2015-12-02,AKBNK.IS,4.341766357421875
2015-12-03,AKBNK.IS,4.280613899230957
2015-12-04,AKBNK.IS,4.2133469581604
2015-12-07,AKBNK.IS,4.225577354431152
2015-12-08,AKBNK.IS,4.164426326751709
2015-12-09,AKBNK.IS,4.28672981262207
2015-12-10,AKBNK.IS,4.158310890197754
2015-12-11,AKBNK.IS,3.962625741958618
2015-12-14,AKBNK.IS,3.9442803859710693
2015-12-15,AKBNK.IS,4.1093902587890625
2015-12-16,AKBNK.IS,4.188887119293213
2015-12-17,AKBNK.IS,4.219463348388672
2015-12-18,AKBNK.IS,4.139965534210205
2015-12-21,AKBNK.IS,4.207232475280762
2015-12-22,AKBNK.IS,4.201116561889648
2015-12-23,AKBNK.IS,4.311190605163574
2015-12-24,AKBNK.IS,4.353996276855469
2015-12-25,AKBNK.IS,4.366227626800537
2015-12-28,AKBNK.IS,4.347880840301514
2015-12-29,AKBNK.IS,4.329535961151123
2015-12-30,AKBNK.IS,4.2378082275390625
2015-12-31,AKBNK.IS,4.097158908843994
2016-01-01,AKBNK.IS,4.097158908843994
2016-01-04,AKBNK.IS,4.023777484893799
2016-01-05,AKBNK.IS,3.999317169189453
2016-01-06,AKBNK.IS,4.0604681968688965
2016-01-07,AKBNK.IS,4.0849289894104
2016-01-08,AKBNK.IS,4.103274345397949
2016-01-11,AKBNK.IS,4.139965534210205
2016-01-12,AKBNK.IS,4.182771682739258
2016-01-13,AKBNK.IS,4.274499416351318
2016-01-14,AKBNK.IS,4.292844295501709
2016-01-15,AKBNK.IS,4.225577354431152
2016-01-18,AKBNK.IS,4.225577354431152
