Tarih,Hisse_Kodu,Close
2015-03-11,THYAO.IS,8.156983375549316
2015-03-12,THYAO.IS,8.176520347595215
2015-03-13,THYAO.IS,7.942068576812744
2015-03-16,THYAO.IS,8.22536563873291
2015-03-17,THYAO.IS,8.498891830444336
2015-03-18,THYAO.IS,8.430510520935059
2015-03-19,THYAO.IS,8.674731254577637
2015-03-20,THYAO.IS,8.733344078063965
2015-03-23,THYAO.IS,8.801726341247559
2015-03-24,THYAO.IS,8.5281982421875
2015-03-25,THYAO.IS,8.508661270141602
2015-03-26,THYAO.IS,8.274209022521973
2015-03-27,THYAO.IS,8.430510520935059
2015-03-30,THYAO.IS,8.694268226623535
2015-03-31,THYAO.IS,8.694268226623535
2015-04-01,THYAO.IS,8.625886917114258
2015-04-02,THYAO.IS,8.723576545715332
2015-04-03,THYAO.IS,8.909183502197266
2015-04-06,THYAO.IS,8.79195785522461
2015-04-07,THYAO.IS,8.625886917114258
2015-04-08,THYAO.IS,8.831032752990723
2015-04-09,THYAO.IS,8.889646530151367
2015-04-10,THYAO.IS,8.772419929504395
2015-04-13,THYAO.IS,8.850570678710938
2015-04-14,THYAO.IS,8.821263313293457
2015-04-15,THYAO.IS,8.59658145904541
2015-04-16,THYAO.IS,8.684500694274902
2015-04-17,THYAO.IS,8.674731254577637
2015-04-20,THYAO.IS,8.79195785522461
2015-04-21,THYAO.IS,9.006872177124023
2015-04-22,THYAO.IS,8.948259353637695
2015-04-23,THYAO.IS,8.948259353637695
2015-04-24,THYAO.IS,9.065485000610352
2015-04-27,THYAO.IS,9.153404235839844
2015-04-28,THYAO.IS,9.026409149169922
2015-04-29,THYAO.IS,9.045948028564453
2015-04-30,THYAO.IS,8.674731254577637
2015-05-01,THYAO.IS,8.674731254577637
2015-05-04,THYAO.IS,8.850570678710938
2015-05-05,THYAO.IS,8.733344078063965
2015-05-06,THYAO.IS,8.53796672821045
2015-05-07,THYAO.IS,8.674731254577637
2015-05-08,THYAO.IS,8.762651443481445
2015-05-11,THYAO.IS,8.918952941894531
2015-05-12,THYAO.IS,9.16317367553711
2015-05-13,THYAO.IS,9.231555938720703
2015-05-14,THYAO.IS,9.348780632019043
2015-05-15,THYAO.IS,9.446470260620117
2015-05-18,THYAO.IS,9.573465347290039
2015-05-19,THYAO.IS,9.573465347290039
2015-05-20,THYAO.IS,9.37808895111084
2015-05-21,THYAO.IS,9.045948028564453
2015-05-22,THYAO.IS,9.104559898376465
2015-05-25,THYAO.IS,9.006872177124023
2015-05-26,THYAO.IS,8.997102737426758
2015-05-27,THYAO.IS,9.16317367553711
2015-05-28,THYAO.IS,9.104559898376465
2015-05-29,THYAO.IS,8.811495780944824
2015-06-01,THYAO.IS,8.567275047302246
2015-06-02,THYAO.IS,8.664962768554688
2015-06-03,THYAO.IS,8.831032752990723
2015-06-04,THYAO.IS,8.860339164733887
2015-06-05,THYAO.IS,8.79195785522461
2015-06-08,THYAO.IS,8.22536563873291
2015-06-09,THYAO.IS,8.205826759338379
2015-06-10,THYAO.IS,8.410972595214844
2015-06-11,THYAO.IS,8.547737121582031
2015-06-12,THYAO.IS,8.547737121582031
2015-06-15,THYAO.IS,8.38166618347168
2015-06-16,THYAO.IS,8.51842975616455
2015-06-17,THYAO.IS,8.645424842834473
2015-06-18,THYAO.IS,8.74311351776123
2015-06-19,THYAO.IS,8.831032752990723
2015-06-22,THYAO.IS,8.879878044128418
2015-06-23,THYAO.IS,8.74311351776123
2015-06-24,THYAO.IS,8.899415016174316
2015-06-25,THYAO.IS,8.948259353637695
2015-06-26,THYAO.IS,8.879878044128418
2015-06-29,THYAO.IS,8.635656356811523
2015-06-30,THYAO.IS,8.59658145904541
2015-07-01,THYAO.IS,8.684500694274902
2015-07-02,THYAO.IS,8.782188415527344
2015-07-03,THYAO.IS,8.60634994506836
2015-07-06,THYAO.IS,8.93848991394043
2015-07-07,THYAO.IS,8.96779727935791
2015-07-08,THYAO.IS,8.811495780944824
2015-07-09,THYAO.IS,9.075254440307617
2015-07-10,THYAO.IS,9.075254440307617
2015-07-13,THYAO.IS,9.16317367553711
2015-07-14,THYAO.IS,9.075254440307617
2015-07-15,THYAO.IS,9.026409149169922
2015-07-16,THYAO.IS,8.96779727935791
2015-07-17,THYAO.IS,8.96779727935791
2015-07-20,THYAO.IS,8.850570678710938
2015-07-21,THYAO.IS,8.997102737426758
2015-07-22,THYAO.IS,9.045948028564453
2015-07-23,THYAO.IS,8.616118431091309
2015-07-24,THYAO.IS,8.645424842834473
2015-07-27,THYAO.IS,8.430510520935059
2015-07-28,THYAO.IS,8.733344078063965
2015-07-29,THYAO.IS,8.655193328857422
2015-07-30,THYAO.IS,8.625886917114258
2015-07-31,THYAO.IS,8.821263313293457
2015-08-03,THYAO.IS,8.674731254577637
2015-08-04,THYAO.IS,8.79195785522461
2015-08-05,THYAO.IS,8.694268226623535
2015-08-06,THYAO.IS,8.889646530151367
2015-08-07,THYAO.IS,8.879878044128418
2015-08-10,THYAO.IS,8.625886917114258
2015-08-11,THYAO.IS,8.93848991394043
2015-08-12,THYAO.IS,8.831032752990723
2015-08-13,THYAO.IS,8.7040376663208
2015-08-14,THYAO.IS,8.870107650756836
2015-08-17,THYAO.IS,8.850570678710938
2015-08-18,THYAO.IS,8.547737121582031
2015-08-19,THYAO.IS,8.18628978729248
2015-08-20,THYAO.IS,8.254671096801758
2015-08-21,THYAO.IS,8.020218849182129
2015-08-24,THYAO.IS,7.590390205383301
2015-08-25,THYAO.IS,7.873687267303467
2015-08-26,THYAO.IS,7.922530651092529
2015-08-27,THYAO.IS,7.922530651092529
2015-08-28,THYAO.IS,7.775998592376709
2015-08-31,THYAO.IS,7.863917827606201
2015-09-01,THYAO.IS,7.590390205383301
2015-09-02,THYAO.IS,7.590390205383301
2015-09-03,THYAO.IS,7.541545867919922
2015-09-04,THYAO.IS,7.580621242523193
2015-09-07,THYAO.IS,7.6685404777526855
2015-09-08,THYAO.IS,7.863917827606201
2015-09-09,THYAO.IS,7.766228675842285
2015-09-10,THYAO.IS,7.7466912269592285
2015-09-11,THYAO.IS,7.580621242523193
2015-09-14,THYAO.IS,7.756460189819336
2015-09-15,THYAO.IS,7.863917827606201
2015-09-16,THYAO.IS,7.912762641906738
2015-09-17,THYAO.IS,7.981143951416016
2015-09-18,THYAO.IS,8.029988288879395
2015-09-21,THYAO.IS,8.078832626342773
2015-09-22,THYAO.IS,8.020218849182129
2015-09-23,THYAO.IS,7.922530651092529
2015-09-24,THYAO.IS,7.922530651092529
2015-09-25,THYAO.IS,7.922530651092529
2015-09-28,THYAO.IS,7.7466912269592285
2015-09-29,THYAO.IS,7.82484245300293
2015-09-30,THYAO.IS,7.785767078399658
2015-10-01,THYAO.IS,7.815073490142822
2015-10-02,THYAO.IS,7.893224239349365
2015-10-05,THYAO.IS,8.117908477783203
2015-10-06,THYAO.IS,8.23513412475586
2015-10-07,THYAO.IS,8.283977508544922
2015-10-08,THYAO.IS,8.34259033203125
2015-10-09,THYAO.IS,8.303515434265137
2015-10-12,THYAO.IS,8.371896743774414
2015-10-13,THYAO.IS,8.22536563873291
2015-10-14,THYAO.IS,8.391435623168945
2015-10-15,THYAO.IS,8.3328218460083
2015-10-16,THYAO.IS,8.205826759338379
2015-10-19,THYAO.IS,8.283977508544922
2015-10-20,THYAO.IS,8.469586372375488
2015-10-21,THYAO.IS,8.323053359985352
2015-10-22,THYAO.IS,8.3328218460083
2015-10-23,THYAO.IS,8.313284873962402
2015-10-26,THYAO.IS,8.215595245361328
2015-10-27,THYAO.IS,8.108139038085938
2015-10-28,THYAO.IS,8.108139038085938
2015-10-29,THYAO.IS,8.108139038085938
2015-10-30,THYAO.IS,8.410972595214844
2015-11-02,THYAO.IS,8.987334251403809
2015-11-03,THYAO.IS,8.860339164733887
2015-11-04,THYAO.IS,8.987334251403809
2015-11-05,THYAO.IS,9.055717468261719
2015-11-06,THYAO.IS,8.987334251403809
2015-11-09,THYAO.IS,8.948259353637695
2015-11-10,THYAO.IS,8.879878044128418
2015-11-11,THYAO.IS,8.958027839660645
2015-11-12,THYAO.IS,9.065485000610352
2015-11-13,THYAO.IS,9.006872177124023
2015-11-16,THYAO.IS,8.772419929504395
2015-11-17,THYAO.IS,8.723576545715332
2015-11-18,THYAO.IS,8.508661270141602
2015-11-19,THYAO.IS,8.557506561279297
2015-11-20,THYAO.IS,8.557506561279297
2015-11-23,THYAO.IS,8.3328218460083
2015-11-24,THYAO.IS,7.736922740936279
2015-11-25,THYAO.IS,7.766228675842285
2015-11-26,THYAO.IS,7.551314830780029
2015-11-27,THYAO.IS,7.649003028869629
2015-11-30,THYAO.IS,7.4829325675964355
2015-12-01,THYAO.IS,7.512239456176758
2015-12-02,THYAO.IS,7.717385292053223
2015-12-03,THYAO.IS,7.522007942199707
2015-12-04,THYAO.IS,7.424319744110107
2015-12-07,THYAO.IS,7.45362663269043
2015-12-08,THYAO.IS,7.2973246574401855
2015-12-09,THYAO.IS,7.463395118713379
2015-12-10,THYAO.IS,7.0824103355407715
2015-12-11,THYAO.IS,6.720963478088379
2015-12-14,THYAO.IS,6.642812728881836
2015-12-15,THYAO.IS,7.062872886657715
2015-12-16,THYAO.IS,7.101947784423828
2015-12-17,THYAO.IS,7.1605610847473145
2015-12-18,THYAO.IS,7.062872886657715
2015-12-21,THYAO.IS,7.3168625831604
2015-12-22,THYAO.IS,7.2680182456970215
2015-12-23,THYAO.IS,7.307093620300293
2015-12-24,THYAO.IS,7.248480796813965
2015-12-25,THYAO.IS,7.228943347930908
2015-12-28,THYAO.IS,7.355937957763672
2015-12-29,THYAO.IS,7.3168625831604
2015-12-30,THYAO.IS,7.209405422210693
2015-12-31,THYAO.IS,7.219173908233643
2016-01-01,THYAO.IS,7.219173908233643
2016-01-04,THYAO.IS,6.9749531745910645
2016-01-05,THYAO.IS,7.072641372680664
2016-01-06,THYAO.IS,7.043335437774658
2016-01-07,THYAO.IS,7.150792598724365
2016-01-08,THYAO.IS,7.053103923797607
2016-01-11,THYAO.IS,7.121485233306885
2016-01-12,THYAO.IS,7.101947784423828
2016-01-13,THYAO.IS,7.170330047607422
2016-01-14,THYAO.IS,7.033565521240234
2016-01-15,THYAO.IS,6.935877323150635
2016-01-18,THYAO.IS,6.994490623474121
2016-01-19,THYAO.IS,7.062872886657715
2016-01-20,THYAO.IS,6.887033939361572
2016-01-21,THYAO.IS,6.8968024253845215
2016-01-22,THYAO.IS,6.8968024253845215
2016-01-25,THYAO.IS,6.95541524887085
2016-01-26,THYAO.IS,7.121485233306885
2016-01-27,THYAO.IS,7.1117167472839355
2016-01-28,THYAO.IS,7.062872886657715
2016-01-29,THYAO.IS,7.141023635864258
2016-02-01,THYAO.IS,7.121485233306885
2016-02-02,THYAO.IS,7.053103923797607
2016-02-03,THYAO.IS,7.053103923797607
2016-02-04,THYAO.IS,7.121485233306885
2016-02-05,THYAO.IS,7.062872886657715
2016-02-08,THYAO.IS,6.730731964111328
2016-02-09,THYAO.IS,6.672119140625
2016-02-10,THYAO.IS,6.720963478088379
2016-02-11,THYAO.IS,6.63304328918457
2016-02-12,THYAO.IS,6.506048679351807
2016-02-15,THYAO.IS,6.408360481262207
2016-02-16,THYAO.IS,6.466972827911377
