ds,Hisse_Kodu,y
2015-03-11,AKBNK.IS,4.449032783508301
2015-03-12,AKBNK.IS,4.467044830322266
2015-03-13,AKBNK.IS,4.449032783508301
2015-03-16,AKBNK.IS,4.569114685058594
2015-03-17,AKBNK.IS,4.665180206298828
2015-03-18,AKBNK.IS,4.605138778686523
2015-03-19,AKBNK.IS,4.839298725128174
2015-03-20,AKBNK.IS,4.893336296081543
2015-03-23,AKBNK.IS,4.953375816345215
2015-03-24,AKBNK.IS,4.785261154174805
2015-03-25,AKBNK.IS,4.8092780113220215
2015-03-26,AKBNK.IS,4.767249584197998
2015-03-27,AKBNK.IS,4.70720911026001
2015-03-30,AKBNK.IS,4.818748950958252
2015-03-31,AKBNK.IS,4.818748950958252
2015-04-01,AKBNK.IS,4.7025604248046875
2015-04-02,AKBNK.IS,4.727022171020508
2015-04-03,AKBNK.IS,4.873785018920898
2015-04-06,AKBNK.IS,4.977743148803711
2015-04-07,AKBNK.IS,4.849324703216553
2015-04-08,AKBNK.IS,4.904361248016357
2015-04-09,AKBNK.IS,4.941051483154297
2015-04-10,AKBNK.IS,4.843209743499756
2015-04-13,AKBNK.IS,4.7331366539001465
2015-04-14,AKBNK.IS,4.824863910675049
2015-04-15,AKBNK.IS,4.696444988250732
2015-04-16,AKBNK.IS,4.739252090454102
2015-04-17,AKBNK.IS,4.7331366539001465
2015-04-20,AKBNK.IS,4.678099632263184
2015-04-21,AKBNK.IS,4.830978870391846
2015-04-22,AKBNK.IS,4.7514824867248535
2015-04-23,AKBNK.IS,4.7514824867248535
2015-04-24,AKBNK.IS,4.830978870391846
2015-04-27,AKBNK.IS,4.934937000274658
2015-04-28,AKBNK.IS,4.959397792816162
2015-04-29,AKBNK.IS,4.965512275695801
2015-04-30,AKBNK.IS,4.763711929321289
2015-05-01,AKBNK.IS,4.763711929321289
2015-05-04,AKBNK.IS,4.763711929321289
2015-05-05,AKBNK.IS,4.708675384521484
2015-05-06,AKBNK.IS,4.665868759155273
2015-05-07,AKBNK.IS,4.671984672546387
2015-05-08,AKBNK.IS,4.824863910675049
2015-05-11,AKBNK.IS,4.8921308517456055
2015-05-12,AKBNK.IS,4.88601541519165
