Özellik,Ortalama,Medyan,Std. Sapma,Min.,Maks.,Çarpıklık (Skewness),Basıklık (Kurtosis)
Open,29.412469878630585,9.453622374944725,54.68493730938144,0.7176758050918579,323.1044502171008,3.254411191412446,10.655258872560468
High,29.884201921837228,9.568782516626161,55.50035323695459,0.7176758050918579,324.32556649632494,3.2429920411341127,10.564120547429118
Low,28.955721850505068,9.358088867076907,53.87299335979491,0.7027759169313189,320.1737976074219,3.2625051155277762,10.719441422293594
Close,29.38976659982455,9.453622817993164,54.61509013644602,0.7176758050918579,322.37176513671875,3.2511584649593788,10.629126856093063
Volume,59219401.43267587,34809426.0,74934109.80467725,0.0,993663283.0,3.4093259844695236,19.98106672152634
USD_TRY,10.926475210657904,6.089674949645996,9.841377758364109,2.540570020675659,35.30524826049805,1.244598905684561,0.1674149954745907
VIX,18.224693140313803,16.244999885559082,7.296913906464596,9.140000343322754,82.69000244140625,2.5946761455419254,12.89191531052711
Gunluk_Getiri,0.0013012700479058377,0.0,0.023584552479329928,-0.1618701808194759,0.1959957022889244,0.13739656411999104,3.5887962995291076
Volatilite_10,0.021393267107653907,0.0194338843308312,0.009933588201046999,0.0003788408530455,0.0883079497330177,1.707415960874861,5.2766784701260985
MA_10,29.142368685998946,9.41148991584778,54.23637970212707,0.7395289063453674,317.12102966308595,3.27008726584687,10.77113733764541
MA_50,28.060450802240645,9.225810918807984,52.54659694878496,0.7701729333400726,305.33003784179687,3.361144589465157,11.491416068511919
Momentum_10,1.5724096130370657,1.1035428734485215,7.64722279696049,-35.17989662784703,46.1602621606849,0.4394766770479613,2.2668109316772638
RSI_14,53.597520247880226,53.512691011798076,12.353394699818946,9.610007651591388,92.15971345016006,0.014673816047185165,-0.32648932327572444
MACD,0.38015022864314507,0.04917862189873775,1.7015351048326242,-11.934403547080109,15.97655153221379,3.380849982139246,24.74333523820446
MACD_Signal,0.3778298576115513,0.0493841570962049,1.6192202556234478,-10.73626816154829,14.787097421312648,3.540063839175863,24.485537092097445
MACD_Histogram,0.0023203710315937973,0.0018765152823379,0.4635131428673661,-5.839853480383069,4.578313986187096,-0.7818714269367323,28.632242966291532
EMA_20,28.868689020895303,9.364941449747121,53.77814861605146,0.7538589103726118,309.20159761504294,3.2879971841922977,10.904996079711063
ATR_14,0.9551832081237132,0.24985475399022525,1.7429230807879617,0.0164568465034077,10.887047696559383,2.9343180588015736,8.62730567189852
BB_Upper,31.21504055148578,9.928899636962479,57.925745959523546,0.777799057641491,329.99387141806073,3.242629782107516,10.532769356547096
BB_Lower,26.51597553540793,8.696712442245545,49.78930504227284,0.7085524459360053,299.94240431796806,3.364098410582399,11.561696046549907
BB_Width,15.072961617678558,12.659198533265716,8.947287947665412,2.347862027193005,75.80493535974979,1.812706210811296,4.7890905752419295
ADX_14,26.48297360141509,23.971956844422895,11.238292574192553,7.479460670081333,73.15315264920221,1.0950060791209417,1.0788002503505547
CCI_20,22.155576804012913,33.38186605949872,111.46410092238524,-438.397014254433,484.6840628596885,-0.17604293978762747,-0.28558043490884044
Williams_R,-45.1769583051937,-41.6242959378325,30.48508823468627,-100.0000000000001,1.315514815992366e-13,-0.23088494040805244,-1.237775037896511
OBV,5386100149.9567995,1462833212.5,7264319186.972858,-2200027416.0,26740658848.0,1.350732197171815,0.68489944971224
Stoch_K,54.8230416948063,58.375704062167515,30.48508823468627,-9.45755266898482e-14,100.00000000000011,-0.23088494040805244,-1.237775037896511
Stoch_D,54.816255404041776,58.46947435294632,28.358490920007462,0.0,100.0,-0.23699437433352066,-1.271907430517535
