Tarih,Hisse_Kodu,Set,Open,High,Low,Close,Volume,USD_TRY,VIX,Gunluk_Getiri,Volatilite_10,MA_10,MA_50,Momentum_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,EMA_20,ATR_14,BB_Upper,BB_Lower,BB_Width,ADX_14,CCI_20,Williams_R,OBV,Stoch_K,Stoch_D,VWAP
2015-03-11,AKBNK.IS,Train,4.407003837584192,4.467044316910793,4.304933887483165,4.449032306671143,37807105.0,2.6362900733947754,16.8700008392334,0.03013917187532421,0.02684764025812778,4.714413499832153,5.166881952285767,-14.037124829599918,31.55308552987468,-0.19811543536540288,-0.13666959223378192,-0.061445843131620964,4.841112983165239,0.13899126591692876,5.471707012593275,4.376806113780016,22.234846717749278,36.55406187137351,-153.5283390871136,-84.81010924184775,368605.0,15.18989075815224,9.151589773727776,4.668374626823678
2015-03-12,AKBNK.IS,Train,4.503069522733647,4.503069522733647,4.419012574898816,4.467044830322266,26880445.0,2.6112399101257324,15.420000076293945,0.004040464854538703,0.02752268904064834,4.651370525360107,5.152231969833374,-12.367491694947297,32.51149782794697,-0.20278882144570698,-0.14989343807616695,-0.05289538336954003,4.805487444799242,0.13506738605392174,5.4639193647798665,4.317948330074869,23.43051593935948,37.759520215734405,-115.247349113382,-82.91134957410797,27249050.0,17.088650425892027,10.971817117769625,4.644315894488697
2015-03-13,AKBNK.IS,Train,4.419012067007841,4.509073453789393,4.394995608160541,4.449032306671143,44706991.0,2.5859899520874023,16.0,-0.004040464854538605,0.026546703653568694,4.603938150405884,5.1368614864349365,-9.63415491641377,32.02852781934327,-0.205576219019874,-0.16102999426490838,-0.04454622475496561,4.77153933640609,0.13356813316641672,5.451615672220755,4.263606591115427,24.45665264064414,38.96308702429298,-102.2361529081902,-84.81010924184775,-17457941.0,15.18989075815224,15.822810647398834,4.617648569452828
2015-03-16,AKBNK.IS,Train,4.5330899908590325,4.5871266982624945,4.521081759459179,4.569114685058594,28666228.0,2.629879951477051,15.609999656677246,0.02663284960197709,0.028868846112205235,4.567913627624511,5.123172159194946,-7.308154287395248,38.57922981522027,-0.19583810751550867,-0.16799161691502845,-0.027846490600480223,4.75226079818252,0.13389143733962638,5.420051278932002,4.237531623976324,24.488936141559172,39.18181152951327,-67.03772783853853,-72.15182874187214,11208287.0,27.848171258127852,20.04223748072404,4.600477772233801
2015-03-17,AKBNK.IS,Train,4.671184178448817,4.737229110557291,4.64716771808361,4.66517972946167,38785912.0,2.622889995574951,15.65999984741211,0.020806897815518144,0.030134543335736865,4.540294790267945,5.1108037376403805,-5.589309839039642,43.2879942460382,-0.17831345128460008,-0.17005598378894277,-0.008257467495657311,4.743967363066248,0.1363359364938457,5.397417976986621,4.222939536441113,24.416523791474802,37.92153733328771,-32.34144425267931,-60.52630978566777,49994199.0,39.47369021433222,27.503917410204107,4.594172803994833
2015-03-18,AKBNK.IS,Train,4.623150789541418,4.665179593959787,4.587126100039957,4.605138778686523,22507891.0,2.6107499599456787,13.970000267028809,-0.012953554997181519,0.029231945879648,4.520481252670288,5.097594728469849,-4.125006601678355,41.16389397872281,-0.1673408369058702,-0.16951295441232828,0.002172117506458071,4.730745593125321,0.13217291456012192,5.358858072558624,4.209263837536591,24.029673656417543,37.07916477909219,-42.875129899962445,-57.983175766104154,27486308.0,42.016824233895846,36.44622856878531,4.581062110890454
2015-03-19,AKBNK.IS,Train,4.8212860459885185,4.839298725128174,4.755241113990391,4.839298725128174,22906465.0,2.5696499347686768,14.069999694824219,0.04959701295254557,0.030381598173690273,4.543897247314453,5.088228340148926,5.084753309181215,51.2174899047181,-0.13815761524735048,-0.16324188657933275,0.025084271331982266,4.741083986649403,0.13945770255165968,5.313057533228241,4.220841106450715,22.9122726820663,34.90518085058221,10.42169057539305,-22.60864405852343,50392773.0,77.39135594147656,52.960623463234874,4.571177581946075
2015-03-20,AKBNK.IS,Train,4.851307290865417,4.911348787991982,4.827291493364985,4.893336772918701,22850423.0,2.602289915084839,13.020000457763672,0.011104618702244714,0.02898931010265044,4.5823235511779785,5.078741912841797,8.52199501005318,53.20473370856217,-0.10940809457721556,-0.15247512817890935,0.04306703360169378,4.755584252008384,0.13550053055704092,5.286167713757391,4.2279174360076235,22.245970287030797,32.4280521670971,32.756247934381314,-10.091576578250486,73243196.0,89.9084234217495,69.77220119904064,4.576203624834189
2015-03-23,AKBNK.IS,Train,4.96538356747817,4.977391795448284,4.893334867449055,4.953375339508057,20903048.0,2.5772199630737305,13.40999984741211,0.012194793540197858,0.028971153880536765,4.620749616622925,5.070696392059326,8.409958622969762,55.37961553247666,-0.08084732412964435,-0.13814956736905634,0.05730224323941199,4.774421498436924,0.1318259875171972,5.2532671347869035,4.241004382013023,21.32365292024146,30.553894919789805,55.638405046534416,-3.5714437522048077,94146244.0,96.42855624779519,87.90944520367374,4.580197757684274
2015-03-24,AKBNK.IS,Train,4.803274311188697,4.851306566812623,4.731224926065217,4.785261631011963,30917706.0,2.540570020675659,13.619999885559082,-0.03452853023311084,0.023838340150408848,4.667581510543823,5.058207874298096,10.848393704605567,48.572244666036475,-0.07096009526437363,-0.12471167294811981,0.05375157768374618,4.775453892015499,0.1382777322261717,5.193315261231418,4.261329275740628,19.714881545176933,28.964382018528394,18.228370956235477,-28.571329470674794,63228538.0,71.4286705293252,85.92188339962331,4.586691606923182
