Model,MAE,RMSE,MAPE (%),R²,Time (s)
Linear Regression,2.3900187600375387,3.7750973802271974,2.4954348480853095,0.998108161450642,0.01002192497253418
SVR,13.472155193983145,17.8614785123169,22.191231132148896,0.9576491078203823,5.039484262466431
Random Forest,29.252305544003057,58.006551381007355,15.23335549551382,0.553335079570346,29.560604095458984
XGBoost,36.78995821147622,67.47360811722126,19.583830977672523,0.39564012630028755,5.053240776062012
LightGBM,38.17662368692855,68.37316843737526,21.202329799654862,0.3794180148460877,6.796046733856201
CatBoost,36.95061584381143,68.10787525570932,19.530229377768784,0.3842244841832926,8.251325845718384
