Tarih,Hisse_Kodu,Set,Open,High,Low,Close,Volume,USD_TRY,VIX,Gunluk_Getiri,Volatilite_10,MA_10,MA_50,Momentum_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,EMA_20,ATR_14,BB_Upper,BB_Lower,BB_Width,ADX_14,CCI_20,Williams_R,OBV,Stoch_K,Stoch_D
2015-03-11,AKBNK.IS,Train,4.407004309916834,4.467044795678437,4.304934348876183,4.449032783508301,37807105.0,2.6362900733947754,16.8700008392334,0.030139499967354114,0.026847718318611886,4.714413404464722,5.166881875991821,-14.037123536316864,31.55313851381129,-0.19811543388633712,-0.13666957528223028,-0.06144585860410684,4.84111293548091,0.13899126312945992,5.47170724964783,4.376805924409178,22.2348552697852,36.554059255298746,-153.52816391194554,-84.81010797627196,368605.0,15.189892023728042,9.151587402948836
2015-03-12,AKBNK.IS,Train,4.503069522733647,4.503069522733647,4.419012574898816,4.467044830322266,26880445.0,2.6112399101257324,15.420000076293945,0.004040357676820066,0.027522756114368455,4.651370477676392,5.152231893539429,-12.367483497468424,32.51152340741075,-0.20278881609409627,-0.1498934234446035,-0.05289539264949278,4.805487401656278,0.13506738346555783,5.463919597878827,4.317948144659625,23.43052438208116,37.75951064280142,-115.24732532963148,-82.91139861881807,27249050.0,17.08860138118194,10.97180082098813
2015-03-13,AKBNK.IS,Train,4.419012540627499,4.509073937061625,4.3949960792061695,4.449032783508301,44706991.0,2.5859899520874023,16.0,-0.004040357676820023,0.02654679434569484,4.603938102722168,5.136861410140991,-9.634153983326145,32.02856625524193,-0.20557617265691164,-0.16102997328706514,-0.044546199369846495,4.771539342785043,0.13356813163626477,5.451615796265838,4.263606514754059,24.456656646224744,38.96306947920758,-102.23603297320906,-84.81010797627196,-17457941.0,15.189892023728042,15.822795142879343
2015-03-16,AKBNK.IS,Train,4.5330899908590325,4.5871266982624945,4.521081759459179,4.569114685058594,28666228.0,2.629879951477051,15.609999656677246,0.026632742424258407,0.02886892185390492,4.567913627624511,5.123172082901001,-7.308145320932795,38.579235514126545,-0.19583806758779065,-0.16799159214721024,-0.027846475440580415,4.752260803953953,0.133891401858974,5.420051557944117,4.237531488015357,24.488944372546733,39.181792804609735,-67.03773090961134,-72.15187804331237,11208287.0,27.84812195668764,20.04220512053254
2015-03-17,AKBNK.IS,Train,4.671184655899701,4.737229594758757,4.647168193079725,4.665180206298828,38785912.0,2.622889995574951,15.65999984741211,0.02080700002747161,0.030134622330710785,4.54029483795166,5.110803651809692,-5.589300189138071,43.28801908428258,-0.17831337881546538,-0.17005594948086128,-0.008257429334604105,4.743967413701084,0.13633593813334466,5.397418206033524,4.222939450445359,24.416529977910038,37.92151375860154,-32.34134186806473,-60.52626702619155,49994199.0,39.47373297380845,27.50391565140804
2015-03-18,AKBNK.IS,Train,4.623150789541418,4.665179593959787,4.587126100039957,4.605138778686523,22507891.0,2.6107499599456787,13.970000267028809,-0.012953657209135053,0.029232030111795676,4.520481300354004,5.0975946426391605,-4.125006601678355,41.16390318521673,-0.16734077780547452,-0.16951291514578393,0.00217213734030941,4.730745638937792,0.1321729501423108,5.358858237192559,4.2092637682700875,24.029678306069737,37.07913937536552,-42.87514159552327,-57.98324179826479,27486308.0,42.016758201735215,36.44620437741043
2015-03-19,AKBNK.IS,Train,4.8212860459885185,4.839298725128174,4.755241113990391,4.839298725128174,22906465.0,2.5696499347686768,14.069999694824219,0.04959701295254557,0.030381679218467173,4.543897294998169,5.0882282543182376,5.084753309181215,51.21748789851949,-0.1381575672945461,-0.16324184557553637,0.025084278280990274,4.741084028098781,0.13945773559226365,5.31305761374163,4.220841073621041,22.91227494515625,34.9051553016959,10.421685363669889,-22.608605003907268,50392773.0,77.39139499609273,52.96062872387879
2015-03-20,AKBNK.IS,Train,4.851306818123874,4.911348309399622,4.827291022963689,4.893336296081543,22850423.0,2.602289915084839,13.020000457763672,0.011104521256022844,0.0289893939468482,4.5823235511779785,5.078741807937622,8.521984434995279,53.20471313502559,-0.10940809394304374,-0.15247509524903785,0.04306700130599411,4.75558424409714,0.13550056065252572,5.286167833586341,4.22791736386239,22.245974211114458,32.42802689425712,32.756110854745664,-10.091656554083656,73243196.0,89.90834344591634,69.77216554791475
2015-03-23,AKBNK.IS,Train,4.9653840454713025,4.977392274597389,4.893335338506412,4.953375816345215,20903048.0,2.5772199630737305,13.40999984741211,0.012194987251512296,0.028971240799466433,4.620749664306641,5.070696306228638,8.40996905906496,55.37962769417133,-0.08084728449911616,-0.13814953309905353,0.05730224859993738,4.774421536692195,0.13182601604098657,5.253267323545699,4.241004288621659,21.323658649638308,30.55387570404826,55.63853058643824,-3.5714440017071696,94146244.0,96.42855599829282,87.90943148010064
2015-03-24,AKBNK.IS,Train,4.803273832556629,4.851306083394282,4.731224454612656,4.785261154174805,30917706.0,2.540570020675659,13.619999885559082,-0.03452872614524852,0.023838416658582377,4.667581605911255,5.058207778930664,10.848407146888041,48.57222906046711,-0.07096010160935862,-0.12471164680111456,0.05375154519175594,4.775453881214348,0.13827782644752745,5.193315317754523,4.261329219217522,19.71488393651402,28.96436471404079,18.22822251439962,-28.571470879241325,63228538.0,71.42852912075867,85.92180952165593
