Tarih,Hisse_Kodu,Set,Open,High,Low,Close,Volume,USD_TRY,VIX,Gunluk_Getiri,Volatilite_10,MA_10,MA_50,Momentum_10,RSI_14,MACD,MACD_Signal,MACD_Histogram
2015-03-11,THYAO.IS,Train,8.156983375549316,8.196058705962693,7.971374857363754,8.156983375549316,12923650.0,2.6362900733947754,16.8700008392334,0.012048488025765303,0.017026263891337705,8.480331707000733,9.070760498046875,-10.215049079200117,34.3866124152071,-0.2398064000393667,-0.15980279856466778,-0.08000360147469893
2015-03-12,THYAO.IS,Train,8.215595676922112,8.23513380740023,8.039756229136406,8.176520347595215,13836727.0,2.6112399101257324,15.420000076293945,0.0023922584761234284,0.015542094040714783,8.418787956237793,9.046142997741699,-7.000005206618132,35.05334710263105,-0.24781430992939235,-0.1774051008376127,-0.07040920909177964
2015-03-13,THYAO.IS,Train,8.01045017199408,8.06906363331334,7.942068576812744,7.942068576812744,11536029.0,2.5859899520874023,16.0,-0.02909290735809855,0.016217612092973364,8.328914594650268,9.015078077316284,-10.165747364176577,30.984378619307805,-0.2699669240659972,-0.19591746548328964,-0.07404945858270756
2015-03-16,THYAO.IS,Train,8.127676838952837,8.254671906015156,8.127676838952837,8.22536563873291,20072728.0,2.629879951477051,15.609999656677246,0.035048982845581805,0.021756104792573384,8.270301580429077,8.980301027297974,-6.65188018905305,40.04129419351,-0.2616472188168171,-0.20906341614999513,-0.052583802666821944
2015-03-17,THYAO.IS,Train,8.342590517127643,8.528198093783887,8.332821452138022,8.498891830444336,14947148.0,2.622889995574951,15.65999984741211,0.032713031887531545,0.025084200732790874,8.245879411697388,8.950994501113891,-2.7933034018232688,47.24036187772633,-0.23032744335609934,-0.213316221591216,-0.017011221764883344
2015-03-18,THYAO.IS,Train,8.381666125981498,8.489123049575856,8.332821731027938,8.430510520935059,11280364.0,2.6107499599456787,13.970000267028809,-0.008078451911983817,0.022906347915748446,8.242948770523071,8.92325098991394,-0.34641898254276043,45.761104702630426,-0.208619262846522,-0.21237682984227718,0.0037575669957551905
2015-03-19,THYAO.IS,Train,8.625886861366741,8.76265097603139,8.586811533123885,8.674731254577637,13734896.0,2.5696499347686768,14.069999694824219,0.028557015857545123,0.024111276351059318,8.275185918807983,8.899414987564088,3.8596455571789443,51.59130703810426,-0.1697520057709898,-0.20385186502801972,0.03409985925702991
2015-03-20,THYAO.IS,Train,8.772419407635395,8.772419407635395,8.694268748492535,8.733344078063965,10107723.0,2.602289915084839,13.020000457763672,0.006734006357205731,0.023580623124450188,8.322076272964477,8.879486532211304,5.673748144161468,52.89985554178223,-0.13269028845910036,-0.18961954971423586,0.056929261255135505
2015-03-23,THYAO.IS,Train,8.811495406256636,8.860338868043398,8.782188211229402,8.801726341247559,8893489.0,2.5772199630737305,13.40999984741211,0.007799524975249578,0.023587103447674618,8.369943571090698,8.861902627944946,5.751170400558978,54.446958989468044,-0.09668619505811371,-0.17103287878301143,0.07434668372489772
2015-03-24,THYAO.IS,Train,8.5281982421875,8.606349831835116,8.508661043497593,8.5281982421875,9406405.0,2.540570020675659,13.619999885559082,-0.03156976419767845,0.023474901247571248,8.416834020614624,8.83962965965271,5.818183453318285,47.697950235523905,-0.08919592812984511,-0.1546654886523782,0.06546956052253308
2015-03-25,THYAO.IS,Train,8.586811930241577,8.6356563257114,8.508661270141602,8.508661270141602,12150312.0,2.5554299354553223,15.4399995803833,-0.002293495534862305,0.02347901618102607,8.452001810073853,8.820091981887817,4.311371966828387,47.247460576996495,-0.08386951245888241,-0.14050629341367904,0.05663678095479663
2015-03-26,THYAO.IS,Train,8.274209022521973,8.283977155996869,8.186289299842636,8.274209022521973,9868237.0,2.5859899520874023,15.800000190734863,-0.02794128736128427,0.025604763145677726,8.461770677566529,8.803289575576782,1.1947463074006646,42.107852200130516,-0.09744336024805555,-0.13189370678055434,0.03445034653249879
2015-03-27,THYAO.IS,Train,8.196058543113184,8.479354915888619,8.17652041248002,8.430510520935059,17259273.0,2.6029999256134033,15.069999694824219,0.018713999903824677,0.02371624928935757,8.51061487197876,8.790199327468873,6.150059514070988,46.30163598233969,-0.09449918003570268,-0.12441480143158402,0.029915621395881345
2015-03-30,THYAO.IS,Train,8.616117572171628,8.704037291337345,8.557505047147343,8.694268226623535,13329982.0,2.6113998889923096,14.510000228881836,0.030806653818159925,0.023169910494245567,8.557505130767822,8.78824553489685,5.700689896174121,52.548512269342176,-0.07007507166585114,-0.11354685547843746,0.04347178381258632
2015-03-31,THYAO.IS,Train,8.694268226623535,8.694268226623535,8.694268226623535,8.694268226623535,14887593.0,2.60260009765625,15.289999961853027,0.0,0.021127065947093574,8.577042770385741,8.773592252731323,2.298845544537124,52.548512269342176,-0.05014079790980297,-0.10086564396471057,0.050724846054907596
2015-04-01,THYAO.IS,Train,8.537967195092298,8.674731310640828,8.450047473070336,8.625886917114258,17122861.0,2.5959599018096924,15.109999656677246,-0.007896195413810859,0.021117220361784438,8.596580410003662,8.761478872299195,2.317491873048861,50.77255507562869,-0.03940629133347251,-0.08857377343846295,0.049167482104990445
2015-04-02,THYAO.IS,Train,8.616118683264746,8.821264410562927,8.616118683264746,8.723576545715332,28058718.0,2.596859931945801,14.670000076293945,0.011261519555297564,0.019362299452425794,8.601464939117431,8.749951639175414,0.5630755547835532,53.20566152194193,-0.02275408599257389,-0.07540983594928514,0.052655749956711254
2015-04-03,THYAO.IS,Train,8.743113119072754,8.94825883166013,8.733344053799703,8.909183502197266,17171754.0,2.58870005607605,14.670000076293945,0.02105329076621977,0.02037263233082011,8.619048881530762,8.745262594223023,2.0134260434667475,57.50338642133064,0.0053580723954915754,-0.0592562542803298,0.06461432667582137
2015-04-06,THYAO.IS,Train,8.801726920877021,8.860339451532735,8.655193730978985,8.79195785522461,20113434.0,2.566270112991333,14.739999771118164,-0.013245175368919357,0.020788922052969398,8.618072032928467,8.73139084815979,-0.11098375073502491,54.12245867046334,0.017970873398059695,-0.043810828744651906,0.0617817021427116
2015-04-07,THYAO.IS,Train,8.71380663913622,8.762651032662788,8.625886917114258,8.625886917114258,18521687.0,2.570580005645752,14.779999732971191,-0.01906963495259806,0.018984687768540284,8.627840900421143,8.716737585067749,1.1454784721526416,49.66724795602618,0.014400077144568257,-0.03216864756680787,0.04656872471137613
2015-04-08,THYAO.IS,Train,8.743113029690756,8.860339016880934,8.733343964517575,8.831032752990723,17643541.0,2.600939989089966,13.979999542236328,0.023504178744779166,0.020181493713600455,8.660078048706055,8.709117860794068,3.7887450518259516,54.63505656670498,0.027803251293436304,-0.02017426779475904,0.04797751908819534
2015-04-09,THYAO.IS,Train,8.899414664044368,8.938489994504467,8.870108399106636,8.889646530151367,13407299.0,2.59768009185791,13.09000015258789,0.006615321002195559,0.01683993756630097,8.721621799468995,8.701498174667359,7.438022244231505,55.972154743615896,0.042663210399599194,-0.007606772155887393,0.050269982555486585
2015-04-10,THYAO.IS,Train,8.801727127148453,8.840802459044463,8.72357646335643,8.772419929504395,8391680.0,2.618769884109497,12.579999923706055,-0.013274587357062773,0.017432163610455322,8.755812740325927,8.693683099746703,4.055619261968651,52.631006507066026,0.044468028332593335,0.0028081879418087527,0.04165984039078458
2015-04-13,THYAO.IS,Train,8.762650957443684,8.850570678710938,8.743112827549046,8.850570678710938,13578941.0,2.626620054244995,13.9399995803833,0.008869239420668446,0.014872933788849598,8.771442985534668,8.68997094154358,1.7977643202768223,54.57764378074681,0.05160954911899296,0.012568460177245595,0.03904108894174736
2015-04-14,THYAO.IS,Train,8.733343593726296,8.850570507568706,8.694268266321922,8.821263313293457,15135399.0,2.6681900024414062,13.670000076293945,-0.0033168478494573776,0.014953849958194012,8.78414249420166,8.69270619392395,1.4606759690371445,53.68662814876006,0.054278705210430545,0.020910509183882584,0.03336819602654796
2015-04-15,THYAO.IS,Train,8.684501189304383,8.723576521460659,8.59658145904541,8.59658145904541,11444119.0,2.6868999004364014,12.84000015258789,-0.025800473090233922,0.01711316330818787,8.781211948394775,8.688994054794312,-0.33973849124666744,47.30989260201056,0.037828024826835005,0.02429401231247307,0.013534012514361937
2015-04-16,THYAO.IS,Train,8.645425364345979,8.733344157964044,8.625887233566841,8.684500694274902,17525045.0,2.6975600719451904,12.600000381469727,0.010175287984729525,0.017034607169393933,8.777304363250732,8.686844911575317,-0.44793384038823114,49.82149330741976,0.031521726768799496,0.025739555203738357,0.005782171565061139
2015-04-17,THYAO.IS,Train,8.733343781127264,8.752881911063348,8.664962189609595,8.674731254577637,6779397.0,2.680619955062866,13.890000343322754,-0.0011255614024226282,0.015277151821095045,8.75385913848877,8.689189405441285,-2.6315795107577045,49.538915244727185,0.025442344476610756,0.025680113058312838,-0.00023776858170208165
2015-04-20,THYAO.IS,Train,8.752882524244342,8.821264120552467,8.73334439293952,8.79195785522461,13647221.0,2.6809298992156982,13.300000190734863,0.013423077499402183,0.015550584912148594,8.75385913848877,8.694659967422485,0.0,52.984803254573954,0.029740764162811573,0.02649224327921259,0.0032485208835989834
