Tarih,Hisse_Kodu,Set,Open,High,Low,Close,Volume,USD_TRY,VIX,Gunluk_Getiri,Volatilite_10,MA_10,MA_50,Momentum_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,EMA_20,ATR_14,BB_Upper,BB_Lower,BB_Width,ADX_14,CCI_20,Williams_R,OBV,Stoch_K,Stoch_D,VWAP
2015-03-11,AKBNK.IS,Train,4.4070047822494764,4.4670452744460825,4.3049348102692,4.449033260345459,37807105.0,2.6362900733947754,16.8700008392334,0.030139607145061236,0.02684774033354592,4.714413452148437,5.166881895065307,-14.03712224303405,31.553156036427907,-0.19811542168307206,-0.1366695987344193,-0.06144582294865275,4.841112978147773,0.13899131991068733,5.471707178524915,4.376805995532092,22.234852381108976,36.554009213354426,-153.52802401014463,-84.81010671069613,368605.0,15.189893289303864,9.151585293563036,4.6683746460855415
2015-03-12,AKBNK.IS,Train,4.503069522733647,4.503069522733647,4.419012574898816,4.467044830322266,26880445.0,2.6112399101257324,15.420000076293945,0.004040250499112941,0.027522770023507625,4.651370477676392,5.152231903076172,-12.367491694947297,32.51151564073771,-0.20278880935916987,-0.14989344085936943,-0.05289536849980045,4.80548744025963,0.13506743619098327,5.463919465711162,4.317948229143574,23.430520066640632,37.759461592090666,-115.2473262822217,-82.91144766352573,27249050.0,17.088552336474276,10.971784785597558,4.644315924248736
2015-03-13,AKBNK.IS,Train,4.419013014247156,4.509074420333857,4.394996550251797,4.449033260345459,44706991.0,2.5859899520874023,16.0,-0.0040402504991128175,0.02654680305963479,4.603938150405884,5.136861438751221,-9.634144298121448,32.02857103681987,-0.20557613224475624,-0.1610299791364468,-0.04454615310830945,4.771539423124947,0.1335681814689173,5.451615686069771,4.263606672633842,24.456651007511375,38.96301975434074,-102.23593126222576,-84.81010671069613,-17457941.0,15.189893289303864,15.822779638360666,4.617648693108976
2015-03-16,AKBNK.IS,Train,4.5330899908590325,4.5871266982624945,4.521081759459179,4.569114685058594,28666228.0,2.629879951477051,15.609999656677246,0.026632635246551375,0.028868914701899447,4.567913675308228,5.123172121047974,-7.308145320932795,38.57922065073492,-0.19583803928917032,-0.1679915911669915,-0.02784644812217882,4.7522608766424375,0.13389141407235433,5.420051376847659,4.237531669111815,24.488936871851912,39.18174798775001,-67.03775420201421,-72.15192734475016,11208287.0,27.848072655249844,20.042172760342662,4.600477891185701
2015-03-17,AKBNK.IS,Train,4.671183700997933,4.737228626355824,4.647167243087495,4.665179252624512,38785912.0,2.622889995574951,15.65999984741211,0.020806795603554015,0.030134595460809894,4.540294790267945,5.110803680419922,-5.5893194889412126,43.28796673032242,-0.17831343640658215,-0.17005596021490965,-0.008257476191672497,4.74396738864073,0.13633588030270263,5.397418023109027,4.222939538002424,24.416524596844898,37.9214808652628,-32.34157061899257,-60.52642323524379,49994199.0,39.47357676475621,27.50384756976997,4.594172857055935
2015-03-18,AKBNK.IS,Train,4.623150789541418,4.665179593959787,4.587126100039957,4.605138778686523,22507891.0,2.6107499599456787,13.970000267028809,-0.012953452785217512,0.029231987710239958,4.520481300354004,5.097594671249389,-4.124997083844798,41.163882002041035,-0.16734082595622812,-0.16951293336317336,0.002172107406945234,4.730745616264138,0.13217285270392604,5.358858123496649,4.209263834282282,24.02967466943167,37.07911255572077,-42.875139315294916,-57.98327924200606,27486308.0,42.01672075799394,36.446123392666664,4.581062162940372
2015-03-19,AKBNK.IS,Train,4.8212860459885185,4.839298725128174,4.755241113990391,4.839298725128174,22906465.0,2.5696499347686768,14.069999694824219,0.04959701295254557,0.030381652185908832,4.543897294998169,5.088228302001953,5.084753309181215,51.21749049360975,-0.13815760750027817,-0.16324186819059433,0.025084260690316162,4.741084007584523,0.1394576451137635,5.31305758857794,4.220841098784731,22.912273889399703,34.905131034376936,10.421685422728345,-22.608620111673325,50392773.0,77.39137988832668,52.960559137025605,4.571177607437595
2015-03-20,AKBNK.IS,Train,4.851305872640785,4.9113473522149,4.827290082161099,4.893335342407227,22850423.0,2.602289915084839,13.020000457763672,0.0111043263635504,0.02898936343016646,4.582323455810547,5.078741827011108,8.521963284879476,53.2046858040312,-0.10940820354243996,-0.15247513526096346,0.04306693171852349,4.755584134710495,0.13550047546662333,5.286167710801359,4.227917391279941,22.245971276626815,32.42799849506624,32.75586327793881,-10.091809391224919,73243196.0,89.90819060877509,69.77209708503189,4.5762035963204175
2015-03-23,AKBNK.IS,Train,4.965385001457564,4.977393232895598,4.893336280621124,4.953376770019531,20903048.0,2.5772199630737305,13.40999984741211,0.012195374674142008,0.028971216308474396,4.620749664306641,5.070696334838868,8.409989931255353,55.379672995275314,-0.08084729506460686,-0.13814956722169214,0.05730227215708528,4.774421528549451,0.1318260051110339,5.253267319020615,4.241004293146743,21.32365845899352,30.553856455803952,55.63880937256579,-3.5714420502410507,94146244.0,96.42855794975894,87.90937614895357,4.580197788137652
2015-03-24,AKBNK.IS,Train,4.803274311188697,4.851306566812623,4.731224926065217,4.785261631011963,30917706.0,2.540570020675659,13.619999885559082,-0.034528819028360525,0.023838404305567565,4.66758165359497,5.058207817077637,10.848418192604827,48.572245630405384,-0.0709600725020687,-0.12471166827776746,0.053751595775698754,4.775453919260166,0.1382778507426968,5.193315465336709,4.261329167002768,19.71488796408265,28.964343873759756,18.22835589963861,-28.571521363838887,63228538.0,71.42847863616112,85.9217423982317,4.586691646948626
