Tarih,Hisse_Kodu,Open,High,Low,Close,Volume,USD_TRY,VIX
2015-01-01,THYAO.IS,9.407395362854004,9.407395362854004,9.407395362854004,9.407395362854004,0.0,2.331160068511963,17.790000915527344
2015-01-02,THYAO.IS,9.446470202203985,9.563696193337194,9.43670113670221,9.495314598083496,7339894.0,2.330980062484741,17.790000915527344
2015-01-05,THYAO.IS,9.739536164591227,9.964219093322754,9.739536164591227,9.964219093322754,21727957.0,2.34224009513855,19.920000076293945
2015-01-06,THYAO.IS,9.91537469484173,10.0619078902848,9.817686829509098,9.964219093322754,8411055.0,2.330749988555908,21.1200008392334
2015-01-07,THYAO.IS,10.013062728330267,10.110751517843761,9.76884168617587,9.817686080932617,8474396.0,2.3236100673675537,19.309999465942383
2015-01-08,THYAO.IS,9.964218275712891,9.964218275712891,9.768841629449764,9.866530418395996,8623683.0,2.3175699710845947,17.010000228881836
2015-01-09,THYAO.IS,9.700460580027915,9.827455640126347,9.641847117048105,9.729766845703125,16354659.0,2.2981998920440674,17.549999237060547
2015-01-12,THYAO.IS,9.778611303265878,9.866531032463516,9.671153442411253,9.680922508239746,18793145.0,2.2927699089050293,19.600000381469727
2015-01-13,THYAO.IS,9.749303580231945,9.759072645533823,9.641846656799316,9.641846656799316,11532920.0,2.2842700481414795,20.559999465942383
2015-01-14,THYAO.IS,9.632077408614846,9.66138460396403,9.456238894666374,9.48554515838623,16884856.0,2.282370090484619,21.479999542236328
2015-01-15,THYAO.IS,9.241324393453233,9.241324393453233,9.09479213889269,9.11432933807373,27827766.0,2.281219959259033,22.389999389648438
2015-01-16,THYAO.IS,9.143635454553651,9.192479849159113,9.055716662219025,9.085022926330566,13659410.0,2.3053200244903564,20.950000762939453
2015-01-19,THYAO.IS,8.99710357577836,8.99710357577836,8.79195785522461,8.79195785522461,27999734.0,2.330970048904419,20.950000762939453
2015-01-20,THYAO.IS,9.241324743320998,9.436701400674947,9.212018477625252,9.426932334899902,31238627.0,2.331860065460205,19.889999389648438
2015-01-21,THYAO.IS,9.436701667653582,9.456239799756435,9.202249672195839,9.231555938720703,21899978.0,2.3454599380493164,18.850000381469727
2015-01-22,THYAO.IS,9.153405010236714,9.397626064719963,9.045948081650662,9.299938201904297,42302190.0,2.3489699363708496,16.399999618530273
2015-01-23,THYAO.IS,9.251092642862684,9.29993703395098,9.143634796142578,9.143634796142578,18979708.0,2.3262600898742676,16.65999984741211
2015-01-26,THYAO.IS,9.260861318855785,9.514851422106089,9.24132412025232,9.48554515838623,25136038.0,2.36296010017395,15.520000457763672
2015-01-27,THYAO.IS,9.436700729096163,9.446469794175977,9.309705677946567,9.358550071716309,19883916.0,2.3560099601745605,17.219999313354492
2015-01-28,THYAO.IS,9.319475901016824,9.348782168268388,9.212018966674805,9.212018966674805,12518146.0,2.363140106201172,20.440000534057617
2015-01-29,THYAO.IS,9.26086081822421,9.29993707657737,9.19247922936473,9.2706298828125,10718790.0,2.3869199752807617,18.760000228881836
2015-01-30,THYAO.IS,9.251093400369312,9.27063059942683,9.143635544850243,9.16317367553711,13800081.0,2.415489912033081,20.969999313354492
2015-02-02,THYAO.IS,9.00687232457032,9.065484853164053,8.97756512864411,9.036178588867188,15285719.0,2.440200090408325,19.43000030517578
2015-02-03,THYAO.IS,8.889646409309092,8.899414543069309,8.674731628885334,8.684500694274902,24496617.0,2.430759906768799,17.329999923706055
2015-02-04,THYAO.IS,8.762652168236748,8.879878168914534,8.743114035642398,8.78218936920166,24641925.0,2.40159010887146,18.329999923706055
2015-02-05,THYAO.IS,8.8505713175097,8.860339451532735,8.606350265975683,8.79195785522461,14483677.0,2.459939956665039,16.850000381469727
2015-02-06,THYAO.IS,8.674731596960335,8.704037861391836,8.518430277819864,8.55750560760498,12905406.0,2.435810089111328,17.290000915527344
2015-02-09,THYAO.IS,8.586811346193588,8.586811346193588,8.430510036624764,8.51842975616455,12955269.0,2.4717600345611572,18.549999237060547
2015-02-10,THYAO.IS,8.733344078063965,8.752882208664351,8.50866116593558,8.733344078063965,17082907.0,2.4747300148010254,17.229999542236328
2015-02-11,THYAO.IS,8.83103243311676,8.870107760764784,8.743112713001386,8.772418975830078,19580203.0,2.494309902191162,16.959999084472656
2015-02-12,THYAO.IS,8.811495819857576,9.065485000610352,8.811495819857576,9.065485000610352,30068856.0,2.498110055923462,15.34000015258789
2015-02-13,THYAO.IS,8.997103456009297,9.006872521531662,8.879877464629,8.889646530151367,11526707.0,2.4674999713897705,14.6899995803833
2015-02-16,THYAO.IS,8.948258807761137,9.114329190442108,8.928721608896556,9.085022926330566,17194650.0,2.455970048904419,14.6899995803833
2015-02-17,THYAO.IS,9.016640254236606,9.260861291653146,9.016640254236606,9.055716514587402,33068883.0,2.454859972000122,15.800000190734863
2015-02-18,THYAO.IS,9.1924799980566,9.1924799980566,9.104560272668532,9.11432933807373,17147315.0,2.4514999389648438,15.449999809265137
2015-02-19,THYAO.IS,9.26086081822421,9.2706298828125,9.202248293953021,9.2706298828125,9439702.0,2.443310022354126,15.289999961853027
2015-02-20,THYAO.IS,9.163173642992733,9.163173642992733,9.036178588867188,9.036178588867188,12285156.0,2.453200101852417,14.300000190734863
2015-02-23,THYAO.IS,9.085023674466967,9.231555938720703,9.075254608415541,9.231555938720703,11606719.0,2.452500104904175,14.5600004196167
2015-02-24,THYAO.IS,9.280399560773915,9.407394613927394,9.24132423146741,9.387856483459473,15225800.0,2.471820116043091,13.6899995803833
2015-02-25,THYAO.IS,9.339013032975503,9.368319297087044,9.065484795836646,9.085022926330566,30688206.0,2.4628500938415527,13.84000015258789
2015-02-26,THYAO.IS,9.075254237738895,9.085023303391306,8.79195785522461,8.79195785522461,27351634.0,2.4872000217437744,13.90999984741211
2015-02-27,THYAO.IS,8.743113400076437,8.889646588993763,8.733344334489408,8.840802192687988,18952562.0,2.504470109939575,13.34000015258789
