iter	RMSE
0	0.1548601185
1	0.1399532719
2	0.1271531415
3	0.1152449181
4	0.1046480282
5	0.09485685076
6	0.08603055269
7	0.07825737581
8	0.07099546404
9	0.06437627079
10	0.05871695086
11	0.05335701273
12	0.04862510895
13	0.04419999831
14	0.04017401665
15	0.03681286806
16	0.03357912409
17	0.03075422661
18	0.02817609537
19	0.02576874649
20	0.02367561468
21	0.02177258117
22	0.020059534
23	0.01854899779
24	0.01720283433
25	0.015924159
26	0.01480529279
27	0.01385022729
28	0.01302080231
29	0.01224266406
30	0.01155770217
31	0.01093795328
32	0.01039824026
33	0.009917010994
34	0.009497503082
35	0.00914405017
36	0.008809029676
37	0.008517333049
38	0.008264062657
39	0.008048188701
40	0.007852387465
41	0.007676677444
42	0.007518699422
43	0.007370821271
44	0.007222171568
45	0.007110301851
46	0.006997543055
47	0.006912430692
48	0.006833912394
49	0.006755094355
50	0.006675625675
51	0.006604061345
52	0.006538806496
53	0.006465644409
54	0.006416323828
55	0.006372209846
56	0.006319886746
57	0.006275654155
58	0.006227213688
59	0.006193934971
60	0.006154645477
61	0.006119549944
62	0.006091047816
63	0.006055495117
64	0.006016038016
65	0.00598693495
66	0.0059661032
67	0.005939906416
68	0.005918359184
69	0.005897929647
70	0.005869569778
71	0.005846325298
72	0.00582083517
73	0.005797995169
74	0.00577750948
75	0.005756264789
76	0.005735172014
77	0.005711444399
78	0.005692634132
79	0.005671945599
80	0.005655261873
81	0.005633298268
82	0.005622297549
83	0.005606384613
84	0.00558625336
85	0.005566372111
86	0.005548547963
87	0.005532796331
88	0.005510313089
89	0.005499202848
90	0.005475569126
91	0.005466306336
92	0.005447863684
93	0.005426012822
94	0.005398524031
95	0.005384016288
96	0.005367534028
97	0.005345241894
98	0.005337765599
99	0.00532079062
