Yontem,Model,RMSE,MAE,MAPE,R2,Sure_Sn
interpolate,LightGBM,3.6059886362666744,2.2530235461961037,2.000540584092683,0.9984187362909966,0.8513871000614017
ffill,LightGBM,3.626198987850697,2.2697954486079426,2.019480087493732,0.9984011510566441,0.6408468000590801
knn,LightGBM,9.71957476238252,2.6266223464927254,3.028278161635587,0.9885102717778741,1.9560308998916298
