Senaryo,Model,RMSE,MAE,MAPE,R2,Egitim_Suresi_Sn,Ozellik_Sayisi,Test_Gozlem,Model_Tipi
scenario_1_basic,Naive Baseline,3.351740459124741,2.1089230114942636,1.8801963242458035,0.9986338563751969,0.0,1,2298,Baseline
scenario_2_derived,Naive Baseline,3.351740459124741,2.1089230114942636,1.8801963242458035,0.9986338563751969,0.0,1,2298,Baseline
scenario_3_all,Naive Baseline,3.351740459124741,2.1089230114942636,1.8801963242458035,0.9986338563751969,0.0,1,2298,Baseline
