Ozellik,Min,Max,Eksik_Veri_Sayisi,Aykiri_Deger_IQR
Open,0.7176759243011475,323.10441942018554,4,2297
High,0.7176759243011475,324.3255353454074,4,2297
Low,0.7027760336656677,320.1737670898437,4,2300
Close,0.7176759243011475,322.37176513671875,4,2303
Volume,0.0,993663283.0,4,991
USD_TRY,2.281219959259033,35.30524826049805,18,0
VIX,9.140000343322754,82.69000244140625,528,456
