Senaryo,Model,RMSE,MAE,MAPE,R2,Egitim_Suresi_Sn,Ozellik_Sayisi,Test_Gozlem
scenario_1_basic,CatBoost,3.4077209913974102,2.206003025466294,2.061116458373069,0.998587840814817,1.218329300172627,7,2298
scenario_1_basic,XGBoost,3.4814170198766523,2.260555759267667,2.0541080034536847,0.9985261011076307,1.4946425999514759,7,2298
scenario_1_basic,Linear Regression,3.584786518560911,2.2866403007022686,2.0955502809359965,0.9984372763258648,0.08580240001901984,7,2298
scenario_1_basic,Random Forest,3.7409598326879907,2.508737936149312,2.3623503822095415,0.9982981484033833,3.627365699969232,7,2298
scenario_1_basic,LightGBM,3.8943536127562743,2.5905966889136764,2.339119076064862,0.9981557220954176,0.5054829998407513,7,2298
scenario_1_basic,SVR,7.8030233310114685,5.6445778997581035,4.75934682756586,0.9925957443216228,16.48244299995713,7,2298
scenario_2_derived,CatBoost,3.38338709751119,2.15445014060091,1.9139498785622335,0.9986079367327684,0.9996356000192463,21,2298
scenario_2_derived,LightGBM,3.4439310726649164,2.1931372983384154,1.96573819458939,0.9985576704614735,0.3776249000802636,21,2298
scenario_2_derived,XGBoost,3.4914270360474426,2.235685124830206,1.9962101174112137,0.9985176132061946,0.27871070010587573,21,2298
scenario_2_derived,SVR,3.835492917990809,2.734092103544245,3.832586354777783,0.9982110509719264,48.025806500110775,21,2298
scenario_2_derived,Random Forest,3.978555199015643,2.544290486142625,2.2314241608725953,0.9980751079804133,9.084042799891904,21,2298
scenario_2_derived,Linear Regression,4.627236515494094,2.7988723139626566,2.2001469958257682,0.9973962517374415,0.02128699980676174,21,2298
scenario_3_all,CatBoost,3.4120065607032832,2.189337217727409,1.9449297547146032,0.9985842867025349,1.3023872999474406,28,2298
scenario_3_all,LightGBM,3.666677077508643,2.375649127494337,2.1148509835405593,0.998365063373245,0.4430847999174148,28,2298
scenario_3_all,XGBoost,3.7495510419954248,2.414135671615995,2.0873468690150103,0.9982903227369029,0.5046010999940336,28,2298
scenario_3_all,SVR,4.537271754027497,3.2652252923070755,3.929380518149254,0.9974965139297151,47.38043539994396,28,2298
scenario_3_all,Random Forest,4.625360925009075,3.0683522029052406,2.6324205951048927,0.9973983621010268,11.083801799919456,28,2298
scenario_3_all,Linear Regression,5.212394644323039,3.0787682302625043,2.3766693750774714,0.9966960750321555,0.008232400054112077,28,2298
