Senaryo,Model,RMSE,MAE,MAPE,R2,Egitim_Suresi_Sn,Ozellik_Sayisi,Pencere,Parametre_Sayisi,Test_Gozlem
scenario_1_basic,LSTM,3.3605188632632768,2.1792686173205182,2.000254435869998,0.9986327645194745,3.483890200033784,7,10,10993,2244
scenario_1_basic,Transformer,3.3656419121503296,2.1812373295695053,1.9934211483866542,0.9986285926915265,18.69988130009733,7,10,38353,2244
scenario_1_basic,BiLSTM,3.805192800230962,2.442435196132653,2.081836888012502,0.9982469916784671,5.515696599846706,7,10,21985,2244
scenario_1_basic,MLP,4.1547046124596205,2.7337043634237075,2.8202840730349066,0.9979101700482776,2.329072100110352,7,10,11521,2244
scenario_1_basic,CNN-LSTM,4.969232870457894,3.093342552293957,2.5350449080742496,0.9970104257535334,4.334924400085583,7,10,16497,2244
scenario_1_basic,GRU,6.116694033549703,3.4912966290971013,2.415629239006682,0.9954703550797439,6.2834348999895155,7,10,8257,2244
scenario_1_basic,CNN,8.959338537127264,5.351256911013279,3.847062962994367,0.9902818736942766,3.394229199970141,7,10,5729,2244
scenario_2_derived,Transformer,3.412008972264953,2.1538989220998306,1.9107420734649796,0.9985905457807333,20.06754399999045,21,10,39025,2244
scenario_2_derived,MLP,4.067169511000652,2.528008319106414,2.059188408201394,0.997997303257097,2.5569977001287043,21,10,24961,2244
scenario_2_derived,BiLSTM,5.531204462393687,3.382878672595595,2.4626466005656282,0.9962960077430183,7.261397999944165,21,10,27361,2244
scenario_2_derived,CNN-LSTM,5.803637004595125,3.463615848605734,2.4346719153002363,0.9959221511203574,5.401038399897516,21,10,17841,2244
scenario_2_derived,LSTM,6.566594076168602,4.0737567745760215,2.74858944327499,0.9947795133909356,4.084439999889582,21,10,13681,2244
scenario_2_derived,GRU,10.948680658910313,6.10729854829625,3.6196165594096414,0.9854870993352586,7.9290968999266624,21,10,10273,2244
scenario_2_derived,CNN,19.314059642645997,11.047099684188758,5.651933953018506,0.9548375200909884,3.7606588997878134,21,10,7745,2244
scenario_3_all,Transformer,3.4528293095495335,2.2076350394526703,2.002913888340048,0.99855661939898,20.87877420010045,28,10,39361,2244
scenario_3_all,LSTM,3.981539648825847,2.527383622554924,2.103920371515809,0.9980807447612823,4.306342499796301,28,10,15025,2244
scenario_3_all,BiLSTM,4.272015786360775,2.7653318276114507,2.24222253285933,0.9977904881111775,6.357380999950692,28,10,30049,2244
scenario_3_all,MLP,4.311169975791089,2.733102062988238,2.2284440188439456,0.9977498009495163,2.62387889996171,28,10,31681,2244
scenario_3_all,GRU,5.417991037050707,3.1663775274317154,2.3475353802536634,0.9964460835839896,6.809949200134724,28,10,11281,2244
scenario_3_all,CNN-LSTM,9.373134779319564,5.561315292114426,3.362532248087527,0.9893634602154009,4.291272399947047,28,10,18513,2244
scenario_3_all,CNN,43.64371424492497,25.875581988268067,12.631740441277264,0.7693921683864763,3.914371500024572,28,10,8753,2244
