Senaryo,Model,RMSE,MAE,MAPE,R2,Egitim_Suresi_Sn,Ozellik_Sayisi,Test_Gozlem,Model_Tipi,Pencere,Parametre_Sayisi
scenario_1_basic,Naive Baseline,3.351740459124741,2.1089230114942636,1.8801963242458035,0.9986338563751969,0.0,1,2298,Baseline,,
scenario_2_derived,Naive Baseline,3.351740459124741,2.1089230114942636,1.8801963242458035,0.9986338563751969,0.0,1,2298,Baseline,,
scenario_3_all,Naive Baseline,3.351740459124741,2.1089230114942636,1.8801963242458035,0.9986338563751969,0.0,1,2298,Baseline,,
scenario_1_basic,CatBoost,3.4077209913974102,2.206003025466294,2.061116458373069,0.998587840814817,1.218329300172627,7,2298,ML,,
scenario_1_basic,XGBoost,3.4814170198766523,2.260555759267667,2.0541080034536847,0.9985261011076307,1.4946425999514759,7,2298,ML,,
scenario_1_basic,Linear Regression,3.584786518560911,2.2866403007022686,2.0955502809359965,0.9984372763258648,0.08580240001901984,7,2298,ML,,
scenario_1_basic,Random Forest,3.7409598326879907,2.508737936149312,2.3623503822095415,0.9982981484033833,3.627365699969232,7,2298,ML,,
scenario_1_basic,LightGBM,3.8943536127562743,2.5905966889136764,2.339119076064862,0.9981557220954176,0.5054829998407513,7,2298,ML,,
scenario_1_basic,SVR,7.8030233310114685,5.6445778997581035,4.75934682756586,0.9925957443216228,16.48244299995713,7,2298,ML,,
scenario_2_derived,CatBoost,3.38338709751119,2.15445014060091,1.9139498785622335,0.9986079367327684,0.9996356000192463,21,2298,ML,,
scenario_2_derived,LightGBM,3.4439310726649164,2.1931372983384154,1.96573819458939,0.9985576704614735,0.3776249000802636,21,2298,ML,,
scenario_2_derived,XGBoost,3.4914270360474426,2.235685124830206,1.9962101174112137,0.9985176132061946,0.27871070010587573,21,2298,ML,,
scenario_2_derived,SVR,3.835492917990809,2.734092103544245,3.832586354777783,0.9982110509719264,48.025806500110775,21,2298,ML,,
scenario_2_derived,Random Forest,3.978555199015643,2.544290486142625,2.2314241608725953,0.9980751079804133,9.084042799891904,21,2298,ML,,
scenario_2_derived,Linear Regression,4.627236515494094,2.7988723139626566,2.2001469958257682,0.9973962517374415,0.02128699980676174,21,2298,ML,,
scenario_3_all,CatBoost,3.4120065607032832,2.189337217727409,1.9449297547146032,0.9985842867025349,1.3023872999474406,28,2298,ML,,
scenario_3_all,LightGBM,3.666677077508643,2.375649127494337,2.1148509835405593,0.998365063373245,0.4430847999174148,28,2298,ML,,
scenario_3_all,XGBoost,3.7495510419954248,2.414135671615995,2.0873468690150103,0.9982903227369029,0.5046010999940336,28,2298,ML,,
scenario_3_all,SVR,4.537271754027497,3.2652252923070755,3.929380518149254,0.9974965139297151,47.38043539994396,28,2298,ML,,
scenario_3_all,Random Forest,4.625360925009075,3.0683522029052406,2.6324205951048927,0.9973983621010268,11.083801799919456,28,2298,ML,,
scenario_3_all,Linear Regression,5.212394644323039,3.0787682302625043,2.3766693750774714,0.9966960750321555,0.008232400054112077,28,2298,ML,,
scenario_1_basic,LSTM,3.3605188632632768,2.1792686173205182,2.000254435869998,0.9986327645194744,3.483890200033784,7,2244,DL,10.0,10993.0
scenario_1_basic,Transformer,3.3656419121503296,2.1812373295695053,1.9934211483866544,0.9986285926915264,18.69988130009733,7,2244,DL,10.0,38353.0
scenario_1_basic,BiLSTM,3.805192800230962,2.442435196132653,2.081836888012502,0.9982469916784672,5.515696599846706,7,2244,DL,10.0,21985.0
scenario_1_basic,MLP,4.1547046124596205,2.7337043634237075,2.8202840730349066,0.9979101700482776,2.329072100110352,7,2244,DL,10.0,11521.0
scenario_1_basic,CNN-LSTM,4.969232870457894,3.093342552293957,2.5350449080742496,0.9970104257535334,4.334924400085583,7,2244,DL,10.0,16497.0
scenario_1_basic,GRU,6.116694033549703,3.4912966290971013,2.415629239006682,0.995470355079744,6.283434899989516,7,2244,DL,10.0,8257.0
scenario_1_basic,CNN,8.959338537127264,5.351256911013279,3.847062962994367,0.9902818736942766,3.394229199970141,7,2244,DL,10.0,5729.0
scenario_2_derived,Transformer,3.412008972264953,2.1538989220998306,1.91074207346498,0.9985905457807333,20.06754399999045,21,2244,DL,10.0,39025.0
scenario_2_derived,MLP,4.067169511000652,2.528008319106414,2.059188408201394,0.997997303257097,2.5569977001287043,21,2244,DL,10.0,24961.0
scenario_2_derived,BiLSTM,5.531204462393687,3.382878672595595,2.462646600565628,0.9962960077430184,7.261397999944165,21,2244,DL,10.0,27361.0
scenario_2_derived,CNN-LSTM,5.803637004595125,3.463615848605734,2.4346719153002363,0.9959221511203574,5.401038399897516,21,2244,DL,10.0,17841.0
scenario_2_derived,LSTM,6.566594076168602,4.0737567745760215,2.74858944327499,0.9947795133909356,4.084439999889582,21,2244,DL,10.0,13681.0
scenario_2_derived,GRU,10.948680658910313,6.10729854829625,3.6196165594096414,0.9854870993352586,7.9290968999266624,21,2244,DL,10.0,10273.0
scenario_2_derived,CNN,19.314059642646,11.047099684188758,5.651933953018506,0.9548375200909884,3.760658899787813,21,2244,DL,10.0,7745.0
scenario_3_all,Transformer,3.452829309549533,2.2076350394526703,2.002913888340048,0.99855661939898,20.87877420010045,28,2244,DL,10.0,39361.0
scenario_3_all,LSTM,3.981539648825847,2.527383622554924,2.103920371515809,0.9980807447612824,4.306342499796301,28,2244,DL,10.0,15025.0
scenario_3_all,BiLSTM,4.272015786360775,2.7653318276114507,2.24222253285933,0.9977904881111777,6.357380999950692,28,2244,DL,10.0,30049.0
scenario_3_all,MLP,4.311169975791089,2.733102062988238,2.2284440188439456,0.9977498009495164,2.62387889996171,28,2244,DL,10.0,31681.0
scenario_3_all,GRU,5.417991037050707,3.1663775274317154,2.347535380253664,0.9964460835839896,6.809949200134724,28,2244,DL,10.0,11281.0
scenario_3_all,CNN-LSTM,9.373134779319564,5.561315292114426,3.362532248087527,0.9893634602154008,4.291272399947047,28,2244,DL,10.0,18513.0
scenario_3_all,CNN,43.64371424492497,25.875581988268067,12.631740441277264,0.7693921683864763,3.914371500024572,28,2244,DL,10.0,8753.0
