Degisken,count,mean,std,min,25%,50%,75%,max
Open,15330.0,28.958129327020245,54.25684979531717,0.7176759243011475,5.507861873559161,9.261595121521779,20.42077211870149,323.10441942018554
High,15330.0,29.42156780314577,55.06615769934219,0.7176759243011475,5.574445414487329,9.378373695740066,20.862497722729536,324.3255353454074
Low,15330.0,28.508789956107712,53.45017253237387,0.7027760336656677,5.446805353955897,9.15928871187084,20.041244650159655,320.1737670898437
Close,15330.0,28.935299358454238,54.18651028512291,0.7176759243011475,5.503382682800293,9.2623291015625,20.389034271240234,322.37176513671875
Volume,15330.0,58437962.21757991,74474414.65494576,0.0,12178495.0,34134546.5,76082513.25,993663283.0
USD_TRY,15330.0,10.763287972190842,9.816176933305988,2.281219959259033,3.586899995803833,6.007999897003174,16.6919002532959,35.30524826049805
VIX,15330.0,18.200653623928062,7.23712731902109,9.140000343322754,13.300000190734863,16.280000686645508,21.290000915527344,82.69000244140625
Gunluk_Getiri,15330.0,0.0012261871862783368,0.023524375349640973,-0.16187018081947593,-0.011501471831313972,0.0,0.013394702013365279,0.19599570228892446
Volatilite_10,15330.0,0.021334969933951516,0.009878044478686818,0.00037885783629628615,0.014640435206978171,0.019406032222219614,0.025703635106570106,0.08830794688094505
MA_10,15330.0,28.69383729619834,53.80963638891331,0.7395289778709412,5.512182343006134,9.238852787017823,20.163283348083496,317.1210235595703
MA_50,15330.0,27.63124292947129,52.13084517556446,0.7701729559898376,5.482402455806732,9.070760440826415,19.63672285079956,305.3300341796875
Momentum_10,15330.0,0.5352079546537107,4.505836580221362,-69.55088806152347,-0.25454628467559814,0.06829094886779785,0.5372855663299552,44.155181884765625
RSI_14,15330.0,53.667563618476706,16.832694783589158,0.8670782418334682,42.02983542275067,53.739321498084124,65.73553940075607,99.65328142866846
MACD,15330.0,0.3724020648456568,1.6860071690989016,-11.934405206771714,-0.07277997977052397,0.04606911466541863,0.25977809305555066,15.97655074093987
MACD_Signal,15330.0,0.3702864043165771,1.6044601751331649,-10.736270334386045,-0.06545668697852056,0.04649595119130347,0.25332166974202575,14.787097290369548
MACD_Histogram,15330.0,0.002115660529079702,0.45908866455510033,-5.839853929814403,-0.03823114858624895,0.0016609823139059343,0.042575996650157,4.57831408708283
EMA_20,15330.0,28.425458590969956,53.35436937857555,0.7538589501632215,5.509450285575341,9.20144417665156,20.01022407546165,309.1784117164319
ATR_14,15330.0,0.9484223018916957,1.7583039174988813,0.01382083431915764,0.13220610457855494,0.2465153914954658,0.709385156199361,11.958139438644077
BB_Upper,15330.0,30.793874506219527,57.577132139670844,0.7785932923814771,5.860887737564552,9.7974892099771,22.009841143682575,330.64772646274974
BB_Lower,15330.0,26.052244293430668,49.293434811687774,0.7072575208855363,5.111393072163919,8.592790025472034,18.323848231017,299.6008024288183
BB_Width,15330.0,0.15397123091944748,0.09128872347467307,0.024088563538745937,0.0917294557850949,0.12968870108370598,0.18909670881655577,0.777742176598809
ADX_14,15330.0,35.6302481134935,16.57611880674397,6.506874681596477,23.02412150052954,32.64362694404973,45.96755895616505,98.63433428144681
CCI_20,15330.0,16.647207714391403,87.50572027106355,-249.46000569776265,-54.23418943688176,25.839022785479166,86.75454155099231,254.18411190985015
Williams_R,15330.0,-45.36095283420242,30.499874618803297,-100.00000000000001,-71.87515538219044,-42.050726308356005,-17.668577491750327,3.009174298006704e-13
OBV,15330.0,3880351578.427919,6126272450.1384945,-4267648938.0,26730533.5,864388522.0,5972110830.0,22875948295.0
Stoch_K,15330.0,54.63904716579758,30.499874618803307,0.0,28.12484461780955,57.949273691643995,82.33142250824967,100.0000000000003
Stoch_D,15330.0,54.650486630500865,28.38653240879157,0.0,29.113542526767908,58.118799699826255,80.77644054603014,100.0
VWAP,15330.0,10.004714684793516,9.326256660626383,0.915338885175647,5.059438398130441,7.13575097695424,10.787879925012383,64.845876792772
