Epoch,Train_Loss,Validation_Loss,Senaryo,Model
9,0.0004358286743289292,0.0013254346558824182,scenario_2_derived,CNN
10,0.00043542062472364966,0.0012339761015027761,scenario_2_derived,CNN
1,0.0018932547370371009,0.001331167877651751,scenario_2_derived,LSTM
2,0.0006495107944439431,0.0012963366461917758,scenario_2_derived,LSTM
3,0.0005361151722484335,0.0012851339997723699,scenario_2_derived,LSTM
4,0.0004957773466490575,0.0012449098285287619,scenario_2_derived,LSTM
5,0.0004780669299049935,0.0012145567452535033,scenario_2_derived,LSTM
6,0.0004718170356292311,0.0013266975292935967,scenario_2_derived,LSTM
7,0.0004710748318237685,0.0012477277778089046,scenario_2_derived,LSTM
8,0.00046242807171178617,0.00124330201651901,scenario_2_derived,LSTM
9,0.00045662578044617215,0.001125885988585651,scenario_2_derived,LSTM
10,0.0004585389230799462,0.0011152252554893494,scenario_2_derived,LSTM
1,0.002159769372415862,0.0015714520122855902,scenario_2_derived,GRU
2,0.0006964253417598749,0.0015781570691615343,scenario_2_derived,GRU
3,0.0005456414518058798,0.0015642702346667647,scenario_2_derived,GRU
4,0.000507431575897499,0.001481038169004023,scenario_2_derived,GRU
5,0.0004852118267340951,0.001556279486976564,scenario_2_derived,GRU
6,0.00048417642912162203,0.0014786709798499942,scenario_2_derived,GRU
7,0.0004789170278464943,0.0012628405820578337,scenario_2_derived,GRU
8,0.0004676349513569481,0.0011932608904317021,scenario_2_derived,GRU
9,0.00045468843563867267,0.001237603835761547,scenario_2_derived,GRU
10,0.0004607459374840671,0.001193001284264028,scenario_2_derived,GRU
1,0.0007586714683774127,0.0011311460984870791,scenario_2_derived,BiLSTM
2,0.0005213923050177982,0.0011220838641747832,scenario_2_derived,BiLSTM
3,0.000480358003447431,0.0011892097536474466,scenario_2_derived,BiLSTM
4,0.0004728394246090569,0.0011610175715759397,scenario_2_derived,BiLSTM
5,0.0004594509033008113,0.0011032572947442532,scenario_2_derived,BiLSTM
6,0.00046116918227718476,0.0010966219706460834,scenario_2_derived,BiLSTM
7,0.0004509102549751073,0.0010928973788395524,scenario_2_derived,BiLSTM
8,0.00044646223847978817,0.0011306562228128314,scenario_2_derived,BiLSTM
9,0.0004491213793309206,0.0010668083559721708,scenario_2_derived,BiLSTM
10,0.00044493401998936733,0.001081454218365252,scenario_2_derived,BiLSTM
1,0.0009261834680468642,0.001073442050255835,scenario_2_derived,CNN-LSTM
2,0.0004403421537842535,0.0010401193285360932,scenario_2_derived,CNN-LSTM
3,0.0004394607460978607,0.0010461179772391915,scenario_2_derived,CNN-LSTM
4,0.0004356744532612668,0.0010524621466174722,scenario_2_derived,CNN-LSTM
5,0.0004375448845946396,0.001033117645420134,scenario_2_derived,CNN-LSTM
6,0.00043527934147797557,0.0010331011144444346,scenario_2_derived,CNN-LSTM
7,0.0004367045564452253,0.0010412323754280806,scenario_2_derived,CNN-LSTM
8,0.0004340664532459674,0.0010335884289816022,scenario_2_derived,CNN-LSTM
9,0.00043230681772651484,0.0010317976120859385,scenario_2_derived,CNN-LSTM
10,0.00043402519129033735,0.0010448184330016375,scenario_2_derived,CNN-LSTM
1,0.030238401550117748,0.0021900644060224295,scenario_2_derived,Transformer
2,0.002842304672023082,0.0013538876082748175,scenario_2_derived,Transformer
3,0.0016226274664014845,0.0012263341341167688,scenario_2_derived,Transformer
4,0.0010951154254144058,0.0011306594824418426,scenario_2_derived,Transformer
5,0.0008280791924854773,0.00117759988643229,scenario_2_derived,Transformer
6,0.0006996886097892587,0.00107983173802495,scenario_2_derived,Transformer
7,0.0006120773255783466,0.0010635432554408908,scenario_2_derived,Transformer
8,0.0005556422113711181,0.0010895406594499946,scenario_2_derived,Transformer
9,0.0005389709913288243,0.00103979732375592,scenario_2_derived,Transformer
10,0.0005089512149944701,0.001032967702485621,scenario_2_derived,Transformer
1,0.0004947800464703635,0.0010503355879336596,scenario_3_all,MLP
2,0.00044096215853122497,0.0010679705301299691,scenario_3_all,MLP
3,0.00043993352613012703,0.0011747629614546895,scenario_3_all,MLP
4,0.0004379653408770017,0.00108886428643018,scenario_3_all,MLP
5,0.000438202598810936,0.0010236611124128103,scenario_3_all,MLP
6,0.0004353009652342215,0.0010343262692913413,scenario_3_all,MLP
7,0.0004363268829235624,0.0010484509402886033,scenario_3_all,MLP
8,0.00043316290871838907,0.0010383917251601815,scenario_3_all,MLP
9,0.0004320196669920863,0.00102858932223171,scenario_3_all,MLP
10,0.00043304427903681893,0.0010268536861985922,scenario_3_all,MLP
1,0.0018024662791244087,0.009231137111783028,scenario_3_all,CNN
2,0.00046428607908767717,0.005722369533032179,scenario_3_all,CNN
3,0.0004568353054180209,0.006736947689205408,scenario_3_all,CNN
4,0.00045233674479407327,0.004781314171850681,scenario_3_all,CNN
5,0.000449803769567682,0.005963553208857775,scenario_3_all,CNN
6,0.00044818166757717596,0.0049758427776396275,scenario_3_all,CNN
7,0.0004526099775310805,0.003116699866950512,scenario_3_all,CNN
8,0.00045216666824541917,0.0032475220505148172,scenario_3_all,CNN
9,0.00044802277365566364,0.004494963213801384,scenario_3_all,CNN
10,0.0004409247611485106,0.00290467101149261,scenario_3_all,CNN
1,0.0011774768920856462,0.0012217091862112284,scenario_3_all,LSTM
2,0.0005681617790937058,0.0011579756392166018,scenario_3_all,LSTM
3,0.0004942915836311711,0.001193303382024169,scenario_3_all,LSTM
4,0.00047986660657833066,0.0010895254090428352,scenario_3_all,LSTM
5,0.0004691527870558535,0.0011056161019951105,scenario_3_all,LSTM
6,0.00046143885811034124,0.0010887201642617583,scenario_3_all,LSTM
7,0.00045556968169486415,0.00110832997597754,scenario_3_all,LSTM
8,0.00045115104681566924,0.0011323686921969056,scenario_3_all,LSTM
9,0.0004501267966199001,0.0010438093449920416,scenario_3_all,LSTM
10,0.0004479727951028118,0.0010949819115921855,scenario_3_all,LSTM
1,0.0010700728762458311,0.0015907040797173977,scenario_3_all,GRU
2,0.0005496450334508804,0.00131930538918823,scenario_3_all,GRU
3,0.0005024800328620975,0.0011704841163009405,scenario_3_all,GRU
4,0.0004820852528999759,0.0011142027797177434,scenario_3_all,GRU
5,0.0004730798047083746,0.0010969999711960554,scenario_3_all,GRU
6,0.0004551746107089067,0.0011207126080989838,scenario_3_all,GRU
7,0.0004514056171111796,0.0011053767520934343,scenario_3_all,GRU
8,0.000452315403630824,0.0012136399745941162,scenario_3_all,GRU
9,0.0004439567697513017,0.0010497459443286061,scenario_3_all,GRU
10,0.0004408122158565675,0.0010770444059744477,scenario_3_all,GRU
1,0.0006639043695031432,0.0011396283516660333,scenario_3_all,BiLSTM
2,0.00048392998620069453,0.0011222991161048412,scenario_3_all,BiLSTM
3,0.0004550752003394466,0.0010499847121536732,scenario_3_all,BiLSTM
4,0.00044852188226026816,0.001043306547217071,scenario_3_all,BiLSTM
5,0.00044711135823100837,0.0010721106082201004,scenario_3_all,BiLSTM
6,0.0004379792200260064,0.001059037633240223,scenario_3_all,BiLSTM
7,0.0004402758010785744,0.0010521772783249617,scenario_3_all,BiLSTM
8,0.00043688217192539014,0.0010420670732855797,scenario_3_all,BiLSTM
9,0.0004383147664027222,0.001037902315147221,scenario_3_all,BiLSTM
10,0.0004368425985116379,0.0010331631638109684,scenario_3_all,BiLSTM
1,0.0017884407118669645,0.0011671714019030333,scenario_3_all,CNN-LSTM
2,0.00045037540205937276,0.001116726198233664,scenario_3_all,CNN-LSTM
3,0.00044021211007410396,0.0011370222782716155,scenario_3_all,CNN-LSTM
4,0.0004447353658179054,0.0012048720382153988,scenario_3_all,CNN-LSTM
5,0.00043607405807831256,0.0011533983051776886,scenario_3_all,CNN-LSTM
6,0.0004372766314710524,0.0011772015132009983,scenario_3_all,CNN-LSTM
7,0.0004362975006577991,0.001126257935538888,scenario_3_all,CNN-LSTM
8,0.0004380329051595514,0.0011186820920556784,scenario_3_all,CNN-LSTM
9,0.00043607672887446824,0.0011781767243519425,scenario_3_all,CNN-LSTM
1,0.011900472205265291,0.0016234777867794037,scenario_3_all,Transformer
2,0.002342246988389109,0.0014518039533868432,scenario_3_all,Transformer
3,0.0013070630827444671,0.0013182720867916942,scenario_3_all,Transformer
4,0.0009765982699069095,0.0011250139214098454,scenario_3_all,Transformer
5,0.000832515984906682,0.0010869064135476947,scenario_3_all,Transformer
6,0.0007497598266387026,0.001080395421013236,scenario_3_all,Transformer
7,0.0006665256348372038,0.001063126721419394,scenario_3_all,Transformer
8,0.0006327192620249532,0.0011086444137617946,scenario_3_all,Transformer
9,0.0005990137092989503,0.001077278284355998,scenario_3_all,Transformer
10,0.0005770431900080959,0.001117298030294478,scenario_3_all,Transformer
