Tarih,Target_Tarih,Hisse_Kodu,Set,Close,Close_Next,Target_Return,Open,High,Low,Volume,USD_TRY,VIX
2015-02-05,2015-02-06,AKBNK.IS,Train,5.127494812011719,5.049441337585449,-0.01522253601182018,5.139503041936708,5.163519501786686,5.031429306507644,14291463.0,2.459939956665039,16.850000381469727
2015-02-06,2015-02-09,AKBNK.IS,Train,5.049441337585449,5.01341724395752,-0.007134273124391789,5.133499281290584,5.163519522326636,5.043437556494911,17266715.0,2.435810089111328,17.290000915527344
2015-02-09,2015-02-10,AKBNK.IS,Train,5.01341724395752,4.869319915771484,-0.028742337047591847,4.953376094950044,5.043437484565423,4.905343843535732,15452618.0,2.471760034561157,18.549999237060547
2015-02-10,2015-02-11,AKBNK.IS,Train,4.869319915771484,4.869319915771484,0.0,5.031430041760807,5.0614502870643605,4.839299336572043,19663845.0,2.4747300148010254,17.229999542236328
2015-02-11,2015-02-12,AKBNK.IS,Train,4.869319915771484,5.133499622344971,0.05425392275373434,4.953376869738146,4.995405346721477,4.863315132139822,13569897.0,2.494309902191162,16.959999084472656
2015-02-12,2015-02-13,AKBNK.IS,Train,5.133499622344971,5.1154866218566895,-0.003508912401566118,5.019421430024768,5.133499622344971,4.995404968483673,15681419.0,2.498110055923462,15.34000015258789
2015-02-13,2015-02-16,AKBNK.IS,Train,5.1154866218566895,5.1455078125,0.0058686871577457505,5.1154866218566895,5.133499300780049,5.049441356755786,13516817.0,2.4674999713897705,14.6899995803833
2015-02-16,2015-02-17,AKBNK.IS,Train,5.1455078125,5.037434101104736,-0.0210035073958531,5.157516043175762,5.181531836735568,5.13950336326626,7598368.0,2.455970048904419,15.244999885559082
2015-02-17,2015-02-18,AKBNK.IS,Train,5.037434101104736,5.127494812011719,0.017878290633565136,5.109483151703841,5.1334996132021615,5.031429651834295,11955754.0,2.454859972000122,15.800000190734863
2015-02-18,2015-02-19,AKBNK.IS,Train,5.127494812011719,5.181531429290772,0.010538600088383691,5.037433755365977,5.151511271861697,5.031429306507644,9323204.0,2.451499938964844,15.449999809265137
2015-02-19,2015-02-20,AKBNK.IS,Train,5.181531429290772,5.091471195220947,-0.01738100700513404,5.199544107783863,5.199544107783863,5.133499178156413,8571241.0,2.443310022354126,15.289999961853027
2015-02-20,2015-02-23,AKBNK.IS,Train,5.091471195220947,5.151511669158936,0.011792362489322436,5.145507900287941,5.157516131168577,5.073458181108265,9563029.0,2.453200101852417,14.300000190734863
2015-02-23,2015-02-24,AKBNK.IS,Train,5.151511669158936,5.181531429290772,0.005827369141286858,5.07946261794824,5.157516118480347,5.07946261794824,6493194.0,2.452500104904175,14.5600004196167
2015-02-24,2015-02-25,AKBNK.IS,Train,5.181531429290772,5.175528526306152,-0.001158519072312504,5.1875358780523575,5.199544107783863,5.139502959126332,11179600.0,2.471820116043091,13.6899995803833
2015-02-25,2015-02-26,AKBNK.IS,Train,5.175528526306152,5.097474575042725,-0.015081348864506393,5.241573467137577,5.2535816989061805,5.133500049011933,10703069.0,2.4628500938415527,13.84000015258789
2015-02-26,2015-02-27,AKBNK.IS,Train,5.097474575042725,4.923356533050537,-0.03415770680734158,5.217556548355407,5.217556548355407,5.097474575042725,13032518.0,2.4872000217437744,13.90999984741211
2015-02-27,2015-03-02,AKBNK.IS,Train,4.923356533050537,4.929359436035156,0.0012192704193412763,4.917352083426213,5.019421716913878,4.893336288304199,27832129.0,2.504470109939575,13.34000015258789
2015-03-02,2015-03-03,AKBNK.IS,Train,4.929359436035156,4.941368103027344,0.002436151623353005,4.989400582614951,4.9954043633771095,4.917351206719197,11871994.0,2.506089925765991,13.039999961853027
2015-03-03,2015-03-04,AKBNK.IS,Train,4.941368103027344,4.803273677825928,-0.027946597444706064,4.929359872647769,4.959380782492556,4.887331400215108,15864929.0,2.520709991455078,13.859999656677246
2015-03-04,2015-03-05,AKBNK.IS,Train,4.803273677825928,4.605138778686523,-0.04124997083844798,4.899339178094112,4.911347407364612,4.803273677825928,11726661.0,2.53262996673584,14.229999542236328
2015-03-05,2015-03-06,AKBNK.IS,Train,4.605138778686523,4.509073734283447,-0.020860401612147684,4.575118537997809,4.647167583104893,4.575118537997809,53503513.0,2.562020063400269,14.039999961853027
2015-03-06,2015-03-09,AKBNK.IS,Train,4.509073734283447,4.569114685058594,0.01331558415615215,4.653171494643604,4.665179724814245,4.479052824960999,63431551.0,2.6057300567626958,15.199999809265137
2015-03-09,2015-03-10,AKBNK.IS,Train,4.569114685058594,4.316941738128662,-0.055190767645767205,4.5270862090549855,4.5751191346544,4.491061514855424,76253780.0,2.6226999759674072,15.0600004196167
2015-03-10,2015-03-11,AKBNK.IS,Train,4.316941738128662,4.449033260345459,0.030598402811444204,4.413007231193037,4.431019907643863,4.310937957839446,37373614.0,2.6031200885772705,16.690000534057617
2015-03-11,2015-03-12,AKBNK.IS,Train,4.449033260345459,4.467044830322266,0.004048423314193896,4.4070047822494764,4.4670452744460825,4.3049348102692,37807105.0,2.6362900733947754,16.8700008392334
2015-03-12,2015-03-13,AKBNK.IS,Train,4.467044830322266,4.449033260345459,-0.004032099667893244,4.503069522733647,4.503069522733647,4.419012574898816,26880445.0,2.6112399101257324,15.420000076293944
2015-03-13,2015-03-16,AKBNK.IS,Train,4.449033260345459,4.569114685058594,0.026990453360605057,4.419013014247156,4.509074420333857,4.394996550251797,44706991.0,2.5859899520874023,16.0
2015-03-16,2015-03-17,AKBNK.IS,Train,4.569114685058594,4.665179252624512,0.021024766106234438,4.5330899908590325,4.587126698262495,4.521081759459179,28666228.0,2.629879951477051,15.609999656677246
2015-03-17,2015-03-18,AKBNK.IS,Train,4.665179252624512,4.605138778686523,-0.01286991789312512,4.671183700997933,4.737228626355824,4.647167243087495,38785912.0,2.622889995574951,15.65999984741211
2015-03-18,2015-03-19,AKBNK.IS,Train,4.605138778686523,4.839298725128174,0.05084753309181215,4.623150789541418,4.665179593959787,4.587126100039957,22507891.0,2.6107499599456787,13.970000267028809
2015-03-19,2015-03-20,AKBNK.IS,Train,4.839298725128174,4.893335342407227,0.011166208235599575,4.821286045988519,4.839298725128174,4.755241113990391,22906465.0,2.5696499347686768,14.06999969482422
2015-03-20,2015-03-23,AKBNK.IS,Train,4.893335342407227,4.953376770019531,0.012270041477020032,4.851305872640785,4.9113473522149,4.827290082161099,22850423.0,2.602289915084839,13.020000457763672
2015-03-23,2015-03-24,AKBNK.IS,Train,4.953376770019531,4.785261631011963,-0.03393950163958666,4.965385001457564,4.977393232895598,4.893336280621124,20903048.0,2.5772199630737305,13.40999984741211
2015-03-24,2015-03-25,AKBNK.IS,Train,4.785261631011963,4.809277534484863,0.0050187231806219194,4.803274311188697,4.851306566812623,4.731224926065217,30917706.0,2.540570020675659,13.619999885559082
2015-03-25,2015-03-26,AKBNK.IS,Train,4.809277534484863,4.76724910736084,-0.008739031345697796,4.827290212570784,4.881327245141067,4.761245284436262,22794029.0,2.5554299354553223,15.4399995803833
2015-03-26,2015-03-27,AKBNK.IS,Train,4.76724910736084,4.707208156585693,-0.01259446473699909,4.695200397755989,4.76724910736084,4.66517948994495,19886471.0,2.5859899520874023,15.800000190734863
2015-03-27,2015-03-30,AKBNK.IS,Train,4.707208156585693,4.818748474121094,0.023695641625566984,4.701203708507287,4.755240402254992,4.695199928220471,21934078.0,2.6029999256134038,15.06999969482422
2015-03-30,2015-03-31,AKBNK.IS,Train,4.818748474121094,4.818748474121094,0.0,4.812633627851046,4.867669964862658,4.782058036210215,32980043.0,2.6113998889923096,14.510000228881836
2015-03-31,2015-04-01,AKBNK.IS,Train,4.818748474121094,4.702560901641846,-0.024111566126190028,4.818748474121094,4.818748474121094,4.818748474121094,22338112.0,2.60260009765625,15.289999961853027
2015-04-01,2015-04-02,AKBNK.IS,Train,4.702560901641846,4.727021217346191,0.0052014883413430465,4.733136835227155,4.745367208661278,4.671984627983868,17371385.0,2.5959599018096924,15.109999656677246
2015-04-02,2015-04-03,AKBNK.IS,Train,4.727021217346191,4.873785018920898,0.031047840664675936,4.727021217346191,4.751481280078324,4.708674980042948,12172330.0,2.596859931945801,14.670000076293944
2015-04-03,2015-04-06,AKBNK.IS,Train,4.873785018920898,4.977743148803711,0.02133006061597477,4.720906374053649,4.873785018920898,4.708675660774168,14074167.0,2.58870005607605,14.704999923706055
2015-04-06,2015-04-07,AKBNK.IS,Train,4.977743148803711,4.849324703216553,-0.02579852791681722,4.934936842944252,4.9838586754277205,4.928821996465559,6907785.0,2.566270112991333,14.739999771118164
2015-04-07,2015-04-08,AKBNK.IS,Train,4.849324703216553,4.904361724853516,0.011349419765695807,4.910475885959873,4.9288217848991005,4.830978804277326,23245996.0,2.570580005645752,14.779999732971191
2015-04-08,2015-04-09,AKBNK.IS,Train,4.904361724853516,4.941051483154297,0.007481046537585297,4.886015823351476,4.904361724853516,4.8554402277085895,12888047.0,2.600939989089966,13.979999542236328
2015-04-09,2015-04-10,AKBNK.IS,Train,4.941051483154297,4.843209266662598,-0.019801901847263922,4.879900300338913,4.965512568411211,4.879900300338913,21554510.0,2.59768009185791,13.09000015258789
2015-04-10,2015-04-13,AKBNK.IS,Train,4.843209266662598,4.7331366539001465,-0.022727205599005842,4.8921307578806354,4.904361130685145,4.830978893858089,21240272.0,2.618769884109497,12.579999923706056
2015-04-13,2015-04-14,AKBNK.IS,Train,4.7331366539001465,4.824863433837891,0.019379702435204458,4.818748584513874,4.818748584513874,4.7331366539001465,20882623.0,2.626620054244995,13.9399995803833
2015-04-14,2015-04-15,AKBNK.IS,Train,4.824863433837891,4.696445465087891,-0.02661587638924138,4.6597541021231255,4.837093805086778,4.647523730874238,39776819.0,2.6681900024414062,13.670000076293944
2015-04-15,2015-04-16,AKBNK.IS,Train,4.696445465087891,4.739251613616943,0.009114584390953136,4.751482146598902,4.763712520268015,4.696445465087891,32911718.0,2.6868999004364014,12.84000015258789
2015-04-16,2015-04-17,AKBNK.IS,Train,4.739251613616943,4.7331366539001465,-0.0012902796085414014,4.7453671403185975,4.77594273339089,4.733136767060616,27531995.0,2.6975600719451904,12.600000381469728
2015-04-17,2015-04-20,AKBNK.IS,Train,4.7331366539001465,4.6781005859375,-0.011627821461122673,4.7698277727968765,4.77594261920701,4.708675567896338,19266796.0,2.680619955062866,13.890000343322754
2015-04-20,2015-04-21,AKBNK.IS,Train,4.6781005859375,4.830978870391846,0.03267956334968557,4.727022424255615,4.745367646024946,4.6781005859375,16959923.0,2.6809298992156982,13.300000190734863
2015-04-21,2015-04-22,AKBNK.IS,Train,4.830978870391846,4.751481533050537,-0.016455741056648522,4.739251414876238,4.830978870391846,4.733136568576336,26359300.0,2.6955299377441406,13.25
2015-04-22,2015-04-23,AKBNK.IS,Train,4.751481533050537,4.751481533050537,0.0,4.830978611561818,4.830978611561818,4.739251160960705,22086997.0,2.6844699382781982,12.710000038146973
2015-04-23,2015-04-24,AKBNK.IS,Train,4.751481533050537,4.830978870391846,0.016731063098601555,4.751481533050537,4.751481533050537,4.751481533050537,0.0,2.712300062179565,12.479999542236328
2015-04-24,2015-04-27,AKBNK.IS,Train,4.830978870391846,4.9349365234375,0.021518962478348034,4.77594253311154,4.8370943968370455,4.763712160366439,20353133.0,2.7034499645233154,12.289999961853027
2015-04-27,2015-04-28,AKBNK.IS,Train,4.9349365234375,4.95939826965332,0.0049568512380339875,4.886015034194055,4.947166895748361,4.8676698158004,25237580.0,2.7196600437164307,13.119999885559082
2015-04-28,2015-04-29,AKBNK.IS,Train,4.95939826965332,4.965512275695801,0.0012328120691359316,4.965513116551758,5.008319085276915,4.947167555638399,19367729.0,2.677320003509521,12.40999984741211
2015-04-29,2015-04-30,AKBNK.IS,Train,4.965512275695801,4.763711929321289,-0.04064038817550483,4.977742647566958,5.026664135051591,4.94105119188086,25833441.0,2.657259941101074,13.390000343322754
