Tarih,Target_Tarih,Hisse_Kodu,Set,Close,Close_Next,Target_Return,Gunluk_Getiri,Volatilite_10,MA_10,MA_50,Momentum_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,EMA_20,ATR_14,BB_Upper,BB_Lower,BB_Width,ADX_14,CCI_20,Williams_R,OBV,Stoch_K,Stoch_D,VWAP
2015-01-01,2015-01-02,AKBNK.IS,Train,5.199544429779053,5.217556476593018,0.0034641586502858752,0.0034581722738967658,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.0,0.0,0.0,5.199544429779053,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,0.0,90.76918576021697,94.3906765064021,5.201545725115998
2015-01-02,2015-01-05,AKBNK.IS,Train,5.217556476593018,5.253580570220947,0.006904399365783742,0.0034581722738967658,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.0014368584353023905,0.00028737168706047814,0.0011494867482419124,5.201259862808954,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,6312573.0,90.76918576021697,94.3906765064021,5.201545725115998
2015-01-05,2015-01-06,AKBNK.IS,Train,5.253580570220947,5.2836012840271,0.005714333948987058,0.006880673148065518,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.005419944639145413,0.001313886277477465,0.004106058361667948,5.206242787324383,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,18384347.0,90.76918576021697,94.3906765064021,5.244912632865552
2015-01-06,2015-01-07,AKBNK.IS,Train,5.2836012840271,5.265589237213135,-0.0034090473231614235,0.0056980690752771864,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.010873645249039221,0.0032258380717898162,0.007647807177249405,5.213610263200833,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,31879277.0,90.76918576021697,94.3906765064021,5.253665240424916
2015-01-07,2015-01-08,AKBNK.IS,Train,5.265589237213135,5.3076171875,0.007981623403102545,-0.0034148713650438683,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.013585712986739829,0.005297813054779819,0.00828789993196001,5.218560641678195,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,14581212.0,90.76918576021697,94.3906765064021,5.266307209543061
2015-01-08,2015-01-09,AKBNK.IS,Train,5.3076171875,5.367659091949463,0.011312402972631095,0.007949938732104327,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.0189083864452968,0.008019927732883216,0.010888458712413583,5.227042217470748,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,25821149.0,90.76918576021697,94.3906765064021,5.272875436986009
2015-01-09,2015-01-12,AKBNK.IS,Train,5.367659091949463,5.355651378631592,-0.0022370484250537697,0.011248896235860357,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.02765275960742475,0.011946494107791522,0.015706265499633228,5.240434300754435,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,43423881.0,90.76918576021697,94.3906765064021,5.292002672534602
2015-01-12,2015-01-13,AKBNK.IS,Train,5.355651378631592,5.409687519073486,0.010089555242055572,-0.0022395543558383518,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.03323075279333665,0.01620334584490055,0.0170274069484361,5.251407355790355,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,27052992.0,90.76918576021697,94.3906765064021,5.307554124106899
2015-01-13,2015-01-14,AKBNK.IS,Train,5.409687519073486,5.313621997833252,-0.01775805365864967,0.01003899547883476,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.041532852643267226,0.021269247204573884,0.020263605438693343,5.266481657055415,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,38225460.0,90.76918576021697,94.3906765064021,5.317304471787077
2015-01-14,2015-01-15,AKBNK.IS,Train,5.313621997833252,5.421695709228516,0.02033899126421359,-0.017917619771530873,0.010276107839433881,5.297410917282105,5.166881895065307,0.2221512794494629,78.37838031212348,0.03990069154193154,0.024995536072045417,0.014905155469886126,5.270971213319971,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,23397248.0,90.76918576021697,94.3906765064021,5.318083451758579
2015-01-15,2015-01-16,AKBNK.IS,Train,5.421695709228516,5.403683185577393,-0.003322304425986709,0.0201349164587004,0.010276107839433881,5.319626045227051,5.166881895065307,0.2221512794494629,78.37838031212348,0.046788488835470154,0.029354126624730366,0.01743436221073979,5.2853259272160225,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,35319286.0,90.76918576021697,94.3906765064021,5.326878343938642
2015-01-16,2015-01-19,AKBNK.IS,Train,5.403683185577393,5.403683185577393,0.0,-0.003327835533415679,0.010549766465323919,5.338238716125488,5.166881895065307,0.186126708984375,78.37838031212348,0.05021481259088301,0.033526263817960894,0.016688548772922113,5.2965980470599625,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,27625091.0,90.76918576021697,94.3906765064021,5.330329291899014
2015-01-19,2015-01-20,AKBNK.IS,Train,5.403683185577393,5.511756896972656,0.02000000882429894,0.0,0.01052951330901482,5.353248977661133,5.166881895065307,0.1501026153564453,78.37838031212348,0.05232700570306292,0.0372864121949813,0.015040593508081623,5.306796631680671,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,27625091.0,90.76918576021697,94.3906765064021,5.3365412228130715
2015-01-20,2015-01-21,AKBNK.IS,Train,5.511756896972656,5.57780122756958,0.011982446220224046,0.019802635947453073,0.01182347291597565,5.3760645389556885,5.166881895065307,0.22815561294555664,78.37838031212348,0.062006803429857094,0.04223049044195646,0.019776312987900634,5.326316656946574,0.08448591505925096,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-9.23081423978304,47497883.0,90.76918576021697,94.3906765064021,5.3548246977250145
2015-01-21,2015-01-22,AKBNK.IS,Train,5.57780122756958,5.703888893127441,0.02260526333112118,0.0119112250826469,0.011715582860139592,5.407285737991333,5.166881895065307,0.3122119903564453,78.37838031212348,0.07415255390809872,0.04861490313518491,0.025537650772913804,5.35026756843448,0.09049000595325461,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-2.777870837238167,67246513.0,97.22212916276185,94.3906765064021,5.3758523855795755
2015-01-22,2015-01-23,AKBNK.IS,Train,5.703888893127441,5.559789180755615,-0.02526341502644809,0.022353550659239965,0.0128456348823022,5.4469129085540775,5.166881895065307,0.3962717056274414,81.39540467511296,0.09288168724571655,0.05746825995729125,0.0354134272884253,5.383945789833809,0.09606539268742788,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-4.8192854037725095,88652581.0,95.1807145962275,94.3906765064021,5.405536198155731
2015-01-23,2015-01-26,AKBNK.IS,Train,5.559789180755615,5.64384651184082,0.015118798276768668,-0.02558801374447403,0.016357451228388397,5.466125917434693,5.166881895065307,0.19213008880615234,67.34689246734388,0.09500189514443758,0.06497498699472051,0.030026908149717063,5.40069277944541,0.10121188779510572,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-33.73518380231247,69552869.0,66.26481619768754,86.22255331889228,5.421095097992845
2015-01-26,2015-01-27,AKBNK.IS,Train,5.64384651184082,5.64384651184082,0.0,0.015005648282006095,0.01659053672261646,5.494945430755616,5.166881895065307,0.2881951332092285,69.23071440535118,0.10228581213006827,0.07243715202179007,0.02984866010827819,5.423850277768782,0.10507165177434549,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-17.72180692073679,87729028.0,82.2781930792632,81.24124129105941,5.435001001602731
2015-01-27,2015-01-28,AKBNK.IS,Train,5.64384651184082,5.5057525634765625,-0.024468055265949556,0.0,0.016571694036321562,5.518361330032349,5.166881895065307,0.23415899276733398,70.58815895952407,0.10682693441647295,0.07931510850072665,0.027511825915746302,5.444802300061357,0.10592935823267771,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-18.42131867999269,87729028.0,81.5786813200073,76.70723019898601,5.444767408633778
2015-01-28,2015-01-29,AKBNK.IS,Train,5.5057525634765625,5.361654758453369,-0.026172226841266542,-0.02477237241870031,0.017693731834300692,5.537574386596679,5.166881895065307,0.19213056564331055,59.763304711349036,0.09815135133070818,0.08308235706672297,0.015068994263985211,5.450607087053282,0.11193353231487992,5.719099475827082,5.115885828051703,0.11134554055360568,32.395347967224964,55.45386973506508,-49.33358877395629,76249146.0,50.66641122604371,71.50776187510473,5.448478121114658
2015-01-29,2015-01-30,AKBNK.IS,Train,5.361654758453369,5.379666328430176,0.0033593304284295776,-0.026520815247204312,0.01894235816574475,5.531570291519165,5.166881895065307,-0.060040950775146484,49.726765284609364,0.07874072655988762,0.0822140309653559,-0.0034733044054682805,5.442135436710433,0.11450663141705279,5.710810616207,5.140385720539217,0.10513585377422584,32.395347967224964,-14.883665295256332,-81.33346476471023,60149091.0,18.666535235289775,50.3038759271136,5.445450862325357
